,Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
593,№0372200047724000040,Оказание услуг по методико-техническому сопровождению программного комплекса «управление иммунизацией» версия 7.0 в 2024 году,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
594,№0173200015824000001,Оказание услуг по комплексному обслуживанию системы двухфакторной аутентификации Департамента экономической политики и развития города Москвы,62.02.30.000: Услуги по технической поддержке информационных технологий; 62.01.29.000: Оригиналы программного обеспечения прочие,31.01.2024
595,№0136300000724000001,"Услуги по поставке, установке и последующему сопровождению электронной справочно-правовой системы",62.03.12.130: Услуги по сопровождению компьютерных систем,22.01.2024
596,№0817200000324000560,"Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого является Косихинский район Алтайского края, а также по размещению информационных сообщений на интернет-ресурсе данного издания","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",31.01.2024
597,№32413235665,"оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензионного ПО, обеспечивающего совместимость услуг с принадлежащими Заказчику экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс)										 ",62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
598,№32413235048,Оказание информационных услуг,"63.91.12.000: Услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации",31.01.2024
599,№0352200039924000005,"Оказание услуг по программному сопровождению (технической поддержке) Медицинской информационной системы ""Медея"" (Реестровый номер 2024.007762)",62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
600,№32413235658,Оказание услуг по методологической и консультативной поддержке ведения бюджетного учета и составления отчетности,62.02.2: Услуги консультативные по вопросам систем и программному обеспечению,31.01.2024
601,№0121200004724000004,Оказанию услуг по техническому сопровождению программного комплекса «Судебное делопроизводство»,62.03.12.130: Услуги по сопровождению компьютерных систем,22.01.2024
602,№0162200016724000006,Оказание услуг по внедрению программного продукта «РИЦ:Правотворчество ред.3.0» (АИС «РИЦ:Правотворчество 3») на базе технологической платформы «1С: Предприятие 8.3»,62.02.2: Услуги консультативные по вопросам систем и программному обеспечению,31.01.2024
603,№0190200000324000616,"Оказание услуг по программному сопровождению и обслуживанию автоматизированной системы бухгалтерского учета ""СМЕТА""",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
604,№0190200000324000614,Оказание услуг по консультационному обслуживанию и сопровождению установленного комплекса программных продуктов «1С: Предприятие»,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
605,№0161200001824000002,"Оказание информационных услуг по опубликованию материалов, освещающих деятельность депутатов Сахалинской областной Думы в газете, территорией распространения которой является муниципальное образование ""Томаринский городской округ""","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",22.01.2024
606,№0162200016724000004,"Оказание услуг по подготовке и распространению информационных материалов о деятельности Законодательного Собрания Свердловской области на Интернет-сайте информационного агентства, осуществляющего освещение социально-политических событий, происходящих в субъектах УрФО",63.91.1: Услуги информационных агентств,31.01.2024
607,№0134300078924000001,"Оказание услуг по сопровождению электронного периодического справочника ""Система Гарант""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
608,№0157200000324000032,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс. (регистрационный номер: 30-А-ГЗ)",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
609,№32413235576,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс для нужд филиала ППК «Роскадастр» по Кировской области",62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,31.01.2024
610,№32413235574,"Оказание услуг по адаптации и сопровождению экземпляров Системы ""КонсультантПлюс"" для нужд филиала по Томской области",62.01.29.000: Оригиналы программного обеспечения прочие,31.01.2024
611,№0149300003524000010,Оказание услуг по информационно-технологическому сопровождению централизованной информационной системы учреждений профессиональных версий программ «1С: Предприятие» для нужд муниципального казенного учреждения «Централизованная бухгалтерия учреждений образования»,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",31.01.2024
612,№0162200016724000002,"Оказание услуг по подготовке и распространению информационных материалов о деятельности Законодательного Собрания Свердловской области на Интернет-сайте информационного агентства, осуществляющего освещение социально-политических событий, происходящих в субъектах УрФО",63.91.1: Услуги информационных агентств,31.01.2024
613,№0162200016724000001,"Оказание услуг по комплексному информационно-технологическому сопровождению, обновлению и развитию автоматизированной информационной системы «1С: Бухгалтерия государственного учреждения КОРП»  и «1С: Зарплата и кадры государственного учреждения» на базе технологической платформы «1С: Предприятие 8.3»",62.02.2: Услуги консультативные по вопросам систем и программному обеспечению,31.01.2024
614,№0161300000124000012,Оказание услуг по предоставлению доступа к информационным сервисам «1С: Предприятие» ,62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
615,№0372200133324000004,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",23.01.2024
616,№0859200001124000142,Оказание услуг по техническому сопровождению средств защиты информации,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
617,№0173300000524000002,"Оказание услуг по информированию населения о деятельности органов местного самоуправления муниципального округа Гольяново посредством подготовки буклета по тематике, определяемой Заказчиком","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",31.01.2024
618,№0158200003124000001,Сопровождение информационной системы (гостехнадзор эксперт) инспекций гостехнадзора Ростовской области,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",31.01.2024
619,№0358300341724000002,"Прочая закупка товаров, работ, услуг (услуги  по сопровождению и адаптации систем Консультант Плюс)","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
620,№0372100008724000001,Оказание услуг по сопровождению программного обеспечения музейной информационной системы Камис 5 и предоставление облачного сервиса,62.03.12.130: Услуги по сопровождению компьютерных систем,23.01.2024
621,№0139200000124000558,Оказание услуг по сопровождению программного комплекса VipNet,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
622,№32413233176,Оказание услуг по сопровождению справочно-правовой системы Консультант Плюс,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
623,№0118300007324000038,"Оказание услуг по техническому сопровождению программных продуктов «АС «Бюджет», АС «УРМ», ПО «Сервер обмена данными», а также дополнительных программных модулей и функционала к этим программным продуктам в 2024 году","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",31.01.2024
624,№0190200000324000607,Оказание услуг по сопровождению справочно-правовой системы Гарант,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
625,№32413234786,Выполнение работ по настройке и сопровождению на компьютерах программных продуктов фирмы 1С,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
626,№0376300000124000005,Оказание услуг по техническому обслуживанию технических средств муниципальной автоматизированной системы централизованного оповещения,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",31.01.2024
627,№32413235425,Оказание услуг по сопровождению справочно-информационной системы для нужд филиала по Иркутской области,62.01.29.000: Оригиналы программного обеспечения прочие,31.01.2024
628,№0334100003924000011,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, в том числе специальной копии Систем КонсультантПлюс",62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
629,№32413234032,"Поставка средств защиты информации, технических средств и программного обеспечения для нужд Уфимского университета","62.09.20.120: Услуги по установке программного обеспечения; 26.20.16.110: Клавиатуры; 27.32.13.159: Кабели, провода и шнуры связи прочие, не включенные в другие группировки; 27.32.13.141: Кабели управления; 26.20.17.110: Мониторы, подключаемые к компьютеру",31.01.2024
630,№0173200001424000020,Оказание комплексных услуг по технической поддержке и системному сопровождению автоматизированной системы управления «Объединенная диспетчерская служба Департамента жилищно-коммунального хозяйства города Москвы» в 2024 году,62.02.30.000: Услуги по технической поддержке информационных технологий,19.01.2024
631,№0818500003624000001,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
632,№32413234015,"Услуги по адаптации и сопровождению экземпляров справочной правовой системы Консультант Плюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с имеющимися и установленными у Заказчика экземплярами Систем КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
633,№0816500000624000399,На оказание услуг по обеспечению информационной безопасности при эксплуатации защищенной сети,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
634,№0862300000124000002,Услуги по технической поддержке информационных технологий,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
635,№32413235350,Оказание услуг по модификации и сопровождению модифицированных информационно-справочных систем «Техэксперт» (модификация имеющихся баз данных + дополнительный модуль),"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",31.01.2024
636,№0173200001424000012,Оказание комплексных услуг по технической поддержке и системному сопровождению подсистемы приема и обработки заявок автоматизированной системы управления «Объединенная диспетчерская служба Департамента жилищно-коммунального хозяйства города Москвы» в 2024 году,62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
637,№32413233961,Услуги по разработке личного кабинета резидента на сайте ОЭЗ «Алга»,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,31.01.2024
638,№0816500000624000394,"Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники) (далее – ЭПС «Система ГАРАНТ»), путем предоставления текущих версий комплекта ЭПС «Система ГАРАНТ»",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
639,№32413235310,Оказание услуг по технической поддержке и модификации порталов (ресурсов) проекта «Открытый регион»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки; 62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения",31.01.2024
640,№0190200000324000593,Оказание услуг по абонентскому сопровождению программного комплекса,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",31.01.2024
641,№0340200003324000720,Оказание услуг по обслуживанию официального сайта Законодательного Собрания Кировской области,63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет,31.01.2024
642,№32413235272,Информационно-технологическое сопровождение программ системы «1С: Предприятие»,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
643,№0361300028524000001,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения,62.03.12.130: Услуги по сопровождению компьютерных систем,17.01.2024
644,№0318200046624000001,"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""",62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
645,№0864500000224000008,Оказание услуг по предоставлению защищенных каналов передачи данных,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",22.01.2024
646,№0336100017024000001,Оказание услуг по настройке и доработке информационной системы для автоматизации приемной компании с функцией дистанционной подачи документов,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
647,№0162300024524000006,"Услуги по адаптации и сопровождению экземпляров систем Консультант Плюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами систем Консультант Плюс",62.09.20.120: Услуги по установке программного обеспечения,22.01.2024
648,№0175200002424000003,"оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс",62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
649,№0119300060024000001,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс,62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
650,№0848300048424000005,"Услуги по адаптации и сопровождению экземпляров Систем Консультант Плюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость с установленными экземплярами в КСП Ленинского городского округа Московской области",62.02.3: Услуги по технической поддержке информационных технологий,22.01.2024
651,№32413235069,Выполнение работ по сопровождению программного продукта 1С ,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
652,№0887600002124000001,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,23.01.2024
653,№0311200052024000002,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
654,№0326100010324000003,"Поставка технического средства реабилитации программного обеспечения экранного доступа для инвалидов, в том числе детей-инвалидов, с нарушениями функций одновременно слуха и зрения  для обеспечения в 2024 году",62.01.29.000: Оригиналы программного обеспечения прочие,19.01.2024
655,№0815500000524000284,Оказание услуг по адаптации и сопровождению адаптированных экземпляров Справочно-Правовых Систем КонсультантПлюс в 2024 году,62.03.12.130: Услуги по сопровождению компьютерных систем,23.01.2024
656,№0891200000624000373,Оказание услуг по обслуживанию инфраструктуры Регионального сегмента Единой государственной информационной системы здравоохранения Забайкальского края в составе защищенной сети передачи данных и компонентов интеграционный шины (00000373-ЭА),62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
657,№0306300010224000007,"Оказание услуг  по сопровождению Справочника, содержащего информацию о текущем состоянии законодательства Российской Федерации, путем предоставления текущих версий комплекта Справочника.",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
658,№0147200001224000001,"Оказание услуг по сопровождению и предоставлению неисключительных прав на использование ПК ""РСУ ГМП"" правообладатель Компания ""Кейсистемс""",58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
659,№0158300007824000001,"Услуги по сопровождению программного комплекса ""САУ СОЗУ""","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",19.01.2024
660,№0118300000624000015,Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
661,№0158300007824000002,"Оказание услуги по предоставлению доступа к сервису ""Электронная карта г. Таганрога""","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",19.01.2024
662,№32413232690,лицензия кадровой справочной системы,"63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов",31.01.2024
663,№0335500001024000001,Оказание услуг по предоставлению сертификата полной технической поддержки программного обеспечения TrueConf Server V на 100 онлайн пользователей для нужд Аппарата Правительства Калининградской области,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
664,№0352200013424000002,"Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс, установленных у заказчика (Реестровый номер 2024.008585)",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
665,№0152300048324000004,"Оказание услуг по обновлению, сопровождению и информационному обслуживанию экземпляров справочно-правовой системы Консультант Плюс, ранее установленного у Заказчика",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
666,№0817200000324000559,"Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого Крутихинский район Алтайского края","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",31.01.2024
667,№0332100022724000041,Оказание услуг по технической поддержке информационной системы ЦАМИ «Видар-ИнфоРад 3.0» (42Ц),"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",31.01.2024
668,№0817200000324000642,"Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого Петропавловский район Алтайского края","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",31.01.2024
669,№0121600019024000011,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс (в т.ч. специальной копии системы), оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
670,№0318200018824000003,"Услуги по сопровождению, технической поддержке и сервисному обслуживанию Программного комплекса «Катарсис» версия 8",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
671,№0159300029924000005,Оказание услуг по ежемесячному абонентскому обслуживанию программного продукта «Электронный паспорт МКД-Спасский муниципальный район,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
672,№0817200000324000643,"Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого является г. Новоалтайск Алтайского края, а также по размещению информационных сообщений на интернет-ресурсе данного издания","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",31.01.2024
673,№0319300003424000005,"Оказание информационных услуг с использованием экземпляров Справочно-правовой системы ""Консультант Плюс""","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",19.01.2024
674,№0875600000524000001,"Услуги в сфере информационно-коммуникационных технологий техническая поддержка специализированного программного обеспечения СПО ""ИСТОК-СМ""",62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
675,№32413222354,Оказание услуг по разработке и внедрению подсистемы «Бюджетирование» в конфигурации 1С:ERP Управление предприятием АО «ПЗЦМ»,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,29.01.2024
676,№0190300000424000084,Оказание услуг по адаптации и сопровождению экземпляров системы «Консультант Плюс»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
677,№32413234702,"Поставки, адаптации и сопровождения экземпляров систем КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
678,№0818500000824000500,"Оказание услуг по сопровождению, технической поддержке и сервисному обслуживанию Программного комплекса ""Катарсис: Соцзащита""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",31.01.2024
679,№1035200000324000008,поставка сертификата активации сервиса совместной технической поддержки средств защиты информации-программного обеспечения VipNet Client,62.02.30.000: Услуги по технической поддержке информационных технологий,31.01.2024
680,№0173100008724000001,Оказание услуг по предоставлению доступа к сервисам технической поддержки  на программное обеспечение контроля (аудита) защищенности информации государственной информационной системы «Информационно-телекоммуникационная система «Контроль» Счетной палаты Российской Федерации»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",22.01.2024
681,№32413234675,"Оказание услуг по сопровождению программных продуктов Фирмы ""1С""",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
682,№0818600005724000022,Оказание услуг по администрированию системы электронного документооборота «СИНКОПА-ДОКУМЕНТ»,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
683,№0173100008724000002,Оказание услуг по предоставлению доступа к сервисам технической поддержки на программное обеспечение системы защиты веб-приложений государственной информационной системы «Информационно-телекоммуникационная система «Контроль» Счетной палаты Российской Федерации»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",22.01.2024
684,№0173100008724000003,Оказание услуг по предоставлению доступа к сервисам технической поддержки на программное обеспечение мониторинга событий информационной безопасности государственной информационной системы «Информационно-телекоммуникационная система «Контроль» Счетной палаты Российской Федерации»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",22.01.2024
685,№0372200211124000001,Оказание услуг по предоставлению простой (неисключительной) лицензии  на право использования и техническому сопровождению информационно-аналитической системы «МедАналитика» для нужд СПб ГБУЗ «Городская больница 20» в 2024г.,62.02.30.000: Услуги по технической поддержке информационных технологий,22.01.2024
686,№32413215881,Оказание услуг по организации видеотрансляции процедур проведения государственной итоговой аттестации по образовательным программам среднего общего образования в Камчатском крае в 2024 году,63.11.21.000: Услуги по передаче потокового видео,26.01.2024
687,№0107100005124000001,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Верховном суде Республики Коми экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс) для нужд Верховного суда Республики Коми.","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
