Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
№0362300113623000010,"Услуги по сопровождению и развитию программного комплекса ""1С""",62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0387200016423000051,Оказание услуг по предоставлению доступа к Электронному периодическому справочнику «Система Гарант»,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0142300025923000190,Услуги консультативные,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,28.09.2023
№0358300077223000221,Оказание услуг по сопровождению прикладного программного обеспечения (программ для ЭВМ) Регионального сегмента единой государственной информационной системы в сфере здравоохранения в Ростовской области (РС ЕГИСЗ) в 2023 году,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",27.09.2023
№0358300251823000043,"Услуги по сопровождению прикладного программного обеспечения (программ для ЭВМ) Регионального сегмента единой государственной информационной системы в сфере здравоохранения в Ростовской области (РС ЕГИСЗ) для ГБУ РО ""ЦРБ"" в Константиновском районе","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.09.2023
№0103300007723000077,Оказание услуг по техническому сопровождению Регионального фрагмента ЕГИСЗ,62.03.12.130: Услуги по сопровождению компьютерных систем,27.09.2023
№32312806359,208666_Техническое обслуживание технологического видеонаблюдения для Пермской ГРЭС,62.02.30.000: Услуги по технической поддержке информационных технологий,28.09.2023
№0131200001023010666,"2023-11341 = Оказание услуг по обслуживанию програмного обеспечения ""1С:Бухгалтерия 8 ПРОФ"" и ""1С: Зарплата и управление персоналом""",62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0131200001023010668,2023-11200 = Оказание услуг по адаптации и сопровождению комплекта СПС КонсультантПлюс в 2024 году,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0126100001523000018,Сопровождение ПО,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",22.09.2023
№0126100001523000019,Приобретение  ПО (продление лицензий),62.01.29.000: Оригиналы программного обеспечения прочие,25.09.2023
№0372200046223000093,Оказание услуг по эксплуатации и сопровождению информационной системы «Комплекс программных средств «Виста-Мед» в 2024 году,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0173100008323000072,"Оказание услуг по предоставлению неисключительных (пользовательских) прав использования программных средств защиты информации, а также по их установке и настройке",74.90.20.149: Услуги (работы) в области защиты информации прочие; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий,28.09.2023
№0167200003423006632,Оказание услуг по абонентскому обслуживанию аппаратно-программного навигационного комплекса на базе ГЛОНАСС/GPS,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0275200000123000075,Оказание услуг по предоставлению ключа активации сервиса совместной технической поддержки уровня «Расширенный» для СЗИ Secret Net Studio 8 и передачи прав на использование модуля обнаружения и предотвращения вторжений СЗИ Secret Net Studio,62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0851200000623007050,Оказание услуг по обеспечению доступа к технической поддержке производителя на компоненты защищенной сети Заказчика (ViPNet-сеть № 6702),62.03.12.130: Услуги по сопровождению компьютерных систем,26.09.2023
№0173200000623000005,Оказание услуг по сопровождению автоматизированной системы доступа к нормативно-распорядительным документам Правительства Москвы ВОКАРТ в 2023 году (дополнение),62.02.30.000: Услуги по технической поддержке информационных технологий,13.09.2023
№0131200001023010362,2023-11204 = Оказание услуг по передаче неисключительных лицензионных прав на использование антивирусного программного обеспечения,62.01.29.000: Оригиналы программного обеспечения прочие,21.09.2023
№0373100076523000480,Поставка программного обеспечения,62.01.29.000: Оригиналы программного обеспечения прочие,25.09.2023
№0128200000123004885,Оказание услуг по продлению сертификатов активации сервиса совместной технической поддержки и обновления программного обеспечения ViPNet для нужд Министерства цифрового развития Владимирской области,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0128200000123004925,Оказание услуг по поставке программного обеспечения  системы защиты приложений  от несанкционированного доступа для нужд центра  обработки данных учреждений  здравоохранения  Владимирской области.,62.09.20.120: Услуги по установке программного обеспечения,27.09.2023
№0167200003423006557,"оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, установленных у Заказчика, на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными экземплярами Систем",62.03.12.130: Услуги по сопровождению компьютерных систем,22.09.2023
№0142200001323020675,Оказание услуг по технической поддержке информационных технологий,62.02.3: Услуги по технической поддержке информационных технологий,25.09.2023
№0128200000123004907,"Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы «КонсультантПлюс» на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг по сопровождению с установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе стационарной копией Системы КонсультантПлюс) для нужд Государственного бюджетного учреждения здравоохранения Владимирской области ""Стоматологическая поликлиника №2 г. Владимира"" ",62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0373100076523000497,"Оказание услуг по адаптации и сопровождению установленных экземпляров систем ""КонсультантПлюс""",62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0818500000823006604,Оказание услуг по передаче (продление) неисключительных лицензионных прав и сертификата технической поддержки для системы защиты информации информационной системы судебных участков мировых судей Краснодарского края,62.01.29.000: Оригиналы программного обеспечения прочие; 62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0848300062723000526,Программное средство антивирусной защиты,62.01.29.000: Оригиналы программного обеспечения прочие,21.09.2023
№0301300247623000847,Оказание услуг по обновлению программной платформы Система электронного документооборота DIRECTUM 5 на Систему электронного документооборота Directum RX,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0321200010123000142,"На оказание информационных услуг по продлению и сопровождению ЭПС «Система ГАРАНТ», содержащей информацию о текущем состоянии законодательства Российской Федерации, путем предоставления в электронном виде по каналам связи посредством телекоммуникационной сети Интернет формируемых Исполнителем текущих выпусков версий СИМ, являющихся частью ЭПС «Система ГАРАНТ",62.03.12.120: Услуги по управлению компьютерными системами дистанционно,27.09.2023
№0134200000123003910,Оказание услуг по обеспечению функционирования (техническому сопровождению) Региональной медицинской информационной системы Иркутской области,62.03.12.130: Услуги по сопровождению компьютерных систем,26.09.2023
№0826500000923007154,Оказание услуг по сопровождению программного комплекса «ТМ:ЦОД SaaS» в рамках Регионального сегмента Единой государственной информационной системы в сфере здравоохранения Белгородской области на 2024-2025гг.,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0826500000923007157,Оказание услуг по сопровождению информационной системы управления скорой и неотложной медицинской помощи Белгородской области на 2024-2025гг.,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0134200000123003947,Оказание услуг по обеспечению функционирования (техническому сопровождению) Региональной медицинской информационной системы Иркутской области,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0273100001623000019,"Оказание услуг по техническому сопровождению средств защиты информации, эксплуатируемых в МИЦ СФР",62.02.30.000: Услуги по технической поддержке информационных технологий,18.09.2023
№0843500000223006082,"Оказание услуг по переносу серверного сегмента модуля скорой медицинской помощи Государственной информационной системы «Единая региональная медицинская информационная система Курганской области» на серверы регионального центра обработки данных, работающие под управлением операционной системы РЕД ОС 7.3 МУРОМ",62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0134200000123003903,Оказание услуг по обеспечению функционирования ( техническому сопровождению) региональной медицинской информационной системы Иркутской области,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0372200000723000026,Оказание услуг по подключению и сопровождению сегмента Единой системы электронного документооборота и делопроизводства исполнительных органов государственной власти Санкт-Петербурга в 2023-2024 гг.,62.03.12.130: Услуги по сопровождению компьютерных систем,27.09.2023
№0318200036023000029,Оказание услуги по предоставлению сертификата на оказание услуг по техническому сопровождению программных комплексов ViPNet Client защищенной сети ViPNet № 541,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0322200000323000037,Оказание услуг по обновлению платформы «1С-Битрикс: Управление сайтом»,62.02.3: Услуги по технической поддержке информационных технологий,27.09.2023
№0817200000323015410,"Оказание услуг по технической поддержке программного обеспечения ЛИС ""Ариадна""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0174500001123004966,На оказание услуг по установке и сопровождению информационных баз для нормативного обеспечения деятельности химико-аналитической лаборатории,62.03.12.130: Услуги по сопровождению компьютерных систем,27.09.2023
№0157200000323001009,Оказание услуг по информационному сопровождению специализированного программного обеспечения «Автоматизированная система «Юридический анализ нормативных правовых актов Псковской области и муниципальных нормативных правовых актов «Кодекс» (регистрационный номер: 1128-А-ГЗ),62.03.12.130: Услуги по сопровождению компьютерных систем,27.09.2023
№0151200006023000377,Оказание услуг по поставке геоинформационного программного обеспечения,58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0340200003323013549,Оказание услуги по технической поддержке и сопровождению программно-аппаратного комплекса,62.03.12.130: Услуги по сопровождению компьютерных систем,26.09.2023
№0340200003323013550,Оказание услуги по технической поддержке и сопровождению программно-аппаратного комплекса,62.03.12.130: Услуги по сопровождению компьютерных систем,26.09.2023
№0123200000323001832,Оказание услуг по техническому сопровождению компонентов Регионального сегмента Единой Государственной информационной системы здравоохранения Амурской области,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0356300076323000289,Оказание услуг по сопровождению справочно-правовой системы Гарант,62.03.12.130: Услуги по сопровождению компьютерных систем,25.09.2023
№0811500001123000047,Создание Второй очереди информационной системы «Прикладная платформа «Государственные и муниципальные услуги»,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,14.09.2023
№0811500001123000046,Доработка Первой очереди информационной системы «Прикладная платформа «Государственные и муниципальные услуги» в целях интеграции с конструктором цифровых регламентов Федеральной государственной информационной системы «Федеральный реестр государственных и муниципальных услуг (функций)»,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,14.09.2023
№0373100126423000036,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс ","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0817200000323015366,"Оказание услуг по технической поддержке и обновлению модуля АРМ «Поликлиника» «Комплексной медицинской информационной системы», функционирующего в медицинской организации","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0124200000623006495,"Оказание услуг по адаптации и сопровождению экземпляров Системы КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Системы КонсультантПлюс (в т.ч. специальной копии Системы)","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",27.09.2023
№0137200001223003955,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копии Систем КонсультантПлюс)",62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0373100085623000035,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс 244.226,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0373200558323000079,Оказание услуг по поддержанию работоспособности Московского сегмента единой сети по работе с обращениями граждан государственных органов и органов местного самоуправления для обеспечения мероприятий по проведению общероссийского дня приема граждан,62.02.30.000: Услуги по технической поддержке информационных технологий,18.09.2023
№0835200001123000011,Оказание услуг по обновлению программного обеспечения SecurOS Enterprise серверной группировки АПК «Безопасный город» на территории Калининградской области,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0318200022923000064,Оказание услуг по предоставлению сертификата на техническое сопровождение программных комплексов ViPNet,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0372200029923000012,Оказание услуг по настройке функциональных механизмов эксплуатируемой Медицинской Информационной Системы «Комплекс Программных Средств «Система Автоматизации Медико-Страхового Обслуживания Населения» «САМСОН»,62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0318100058623000353,"Информационные услуги на основе систем ""Консультант Плюс""",62.02.30.000: Услуги по технической поддержке информационных технологий,21.09.2023
№0846600002123000637,"Оказание услуги по внедрению (установке, адаптации, модификации, тестированию, техническому сопровождению) программных продуктов: «1С: Бухгалтерия государственного учреждения КОРП ред. 2.0»",62.03.12.130: Услуги по сопровождению компьютерных систем,26.09.2023
№0373100087423000042,"Развитие программно-аппаратного комплекса ""Программно-определяемого центра обработки данных""","26.20.14.120: Серверы (однопроцессорные, двухпроцессорные); 62.03.12.110: Услуги по управлению компьютерными системами непосредственно",25.09.2023
№0129300014923000487,"Оказание услуг по сопровождению и доработке программ для ЭВМ и баз данных - нетиповых (измененных) конфигураций ""1С""",62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0860200000823006886,Оказание услуг по подключению автоматизированной информационной системы «Зачисление в образовательную организацию» Саратовской области к Конструктору цифровых регламентов и дальнейшему техническому сопровождению,62.02.30.000: Услуги по технической поддержке информационных технологий,22.09.2023
№0173200023323000067,"Поставка оборудования, программного обеспечения, сертификата на техническую поддержку программного обеспечения для защиты информации","62.01.29.000: Оригиналы программного обеспечения прочие; 26.20.14.120: Серверы (однопроцессорные, двухпроцессорные)",25.09.2023
№0365300082123000006,"Услуги по продлению лицензии на программный продукт ""Парус-Бюджет10""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.09.2023
№0301300380023000456,Оказание услуг по обслуживанию автоматизированной информационной системы,62.03.12.130: Услуги по сопровождению компьютерных систем,21.09.2023
№0356200031323000219,"Оказание услуг по обновлению, проведению консультаций по применению, настройке программного продукта 1С",62.03.12.130: Услуги по сопровождению компьютерных систем,25.09.2023
№0330300000823000069,"Оказание услуг по сервисному сопровождению компьютерной лабораторно-информационной системы (ЛИС) ""Innovasystem"" ",62.03.12.130: Услуги по сопровождению компьютерных систем,28.09.2023
№0142200001323020668,"Оказание услуг на предоставление лицензии (неисключительных прав) на программное обеспечение ""Web-система СБИС"", сроком на 12 месяцев для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Тольяттинская городская клиническая поликлиника №3» ","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.09.2023
№0373200099723001296,Электронный аукцион на комплексное техническое обслуживание Лабораторной Информационной системы АЛИСА (ЛИС АЛИСА) для нужд ГБУЗ «Морозовская ДГКБ ДЗМ».,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0328300129423000182,"Поставка программного обеспечения ""Интеллект"" - Подключение видеокамеры",62.01.29.000: Оригиналы программного обеспечения прочие,27.09.2023
№0817200000323015409,"Оказание услуг по технической поддержке и обновлению до актуальной версии модуля АРМ «Поликлиника» «Комплексной медицинской информационной системы», функционирующего в медицинской организации в 2024 году","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0373100093223000281,311/2023 Оказание услуг по настройке и квалификации сервера Openlab для нужд ФГБУ «НЦЭСМП» Минздрава России,62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0377100004223000037,"Услуги по информационно-технологическому сопровождению программ, расширению и доработке функциональных возможностей программного обеспечения «1С:Предприятие» для обеспечения федеральных нужд МВД по Республике Алтай, территориальных органов МВД России, подчиненных МВД по Республике Алтай и Федерального казенного учреждения ""Центр хозяйственного и сервисного обеспечения Министерства внутренних дел по Республике Алтай""",62.03.12.130: Услуги по сопровождению компьютерных систем,22.09.2023
№0372200113223000019,"Оказание услуг по сопровождению медицинской информационной системы ""Ариадна"" для нужд СПб ГБУЗ ""Детский санаторий ""Аврора в 2023 году",58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.03.12.130: Услуги по сопровождению компьютерных систем,27.09.2023
№0228000000123000034,Оказание услуг по предоставлению неисключительных прав на продление пользования поддержкой и обслуживанием программным обеспечением виртуализации центра обработки данных										,62.02.30.000: Услуги по технической поддержке информационных технологий,26.09.2023
№0352300008523000016,Оказание услуг по программному сопровождению (технической поддержке) медицинской информационной системы «Медея» (Реестровый номер 2023.065650),62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0162100017923000056,Приобретение лицензий на программную систему защиты информации (АльфаДок),62.01.29.000: Оригиналы программного обеспечения прочие,27.09.2023
№0846500000623000613,№ 23 - ЭА 2 - 625: работы по модернизации сети передачи данных для обеспечения бесперебойного функционирования подсистем государственной информационной системы в сфере здравоохранения Липецкой области «Региональный сегмент единой государственной информационной системы в сфере здравоохранения»,62.09.10.000: Услуги по установке компьютеров и периферийного оборудования,22.09.2023
№0317100025123000065,Оказание услуг по продлению права доступа (простая неисключительная лицензия)  к «Электронной библиотечной системе «Консультант студента»,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",26.09.2023
№0372200047723000717,Передача неисключительных прав на использование функциональных модулей программы для ЭВМ «Программный комплекс автоматизации медицинских учреждений «Инфоклиника» в конфигурации «Инфодент» для СПб ГБУЗ «Городская больница № 40» в 2023 году,62.01.29.000: Оригиналы программного обеспечения прочие,26.09.2023
№0187300007823000179,Выполнение работ по установке и настройке системы мониторинга информационной безопасности в администрации города Радужный,"26.30.11.110: Средства связи, выполняющие функцию систем коммутации; 62.09.10.000: Услуги по установке компьютеров и периферийного оборудования; 26.20.40.149: Системы и средства обеспечения безопасности информации прочие, не вошедшие в другие категории",27.09.2023
№0318200060023000289,Оказание услуг по сервисному обслуживанию и техническому сопровождению комплексной информационной системы ГБУЗ «Клинический онкологический диспансер №1» министерства здравоохранения Краснодарского края в составе вычислительной техники и периферийного оборудования,62.03.12.130: Услуги по сопровождению компьютерных систем,25.09.2023
№0817200000323015338,Оказание услуг по технической поддержке программного обеспечения лабораторной информационной системы «Ариадна» в КГБУЗ «Первомайская ЦРБ имени А.Ф.Воробьева» в 2024 году,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.09.2023
№0830300001223000125,"Обновление ПО АС ""Управление имуществом""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",26.09.2023
№0817200000323015511,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс  на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс)",62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0330500000823000059,Оказание услуг по сопровождению ранее установленного у Заказчика электронного периодического справочника «Система ГАРАНТ» в комплектации «ГАРАНТ –  Профессионал»,62.03.12.130: Услуги по сопровождению компьютерных систем,28.09.2023
№0318200078923000003,Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0318300605723000223,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс  на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с имеющимися и установленными у заказчика экземплярами Систем КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,25.09.2023
№0152300019023000050,"Оказание услуг по предоставлению неисключительных прав на использование обновлений версий программы для ЭВМ «ГРАНД-Смета», ее баз данных и их обновлений","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",27.09.2023
№0360300019823000260,Оказание услуг по сопровождению программного обеспечения Медицинской информационной системы Государственная информационная система в сфере здравоохранения Саратовской области «ГИСЗ Саратовской области» («МИС ГИСЗ СО») в части приема обращений и консультационной поддержке работы пользователей,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.09.2023
№0373100076523000475,Поставка программного обеспечения,62.01.29.000: Оригиналы программного обеспечения прочие,25.09.2023
№0373100076523000476,Поставка программного обеспечения,62.01.29.000: Оригиналы программного обеспечения прочие,25.09.2023
№0150100006623000069,Услуги  справочно правовых систем,63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,25.09.2023
№0167200003423006250,Оказание информационных услуг по ситуационному анализу и прогнозированию социально-экономических процессов,"63.99.1: Услуги информационные прочие, не включенные в другие группировки",15.09.2023
№0167200003423006598,Внедрение ведомственной информационной системы регионального государственного строительного надзора,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,25.09.2023
