Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0117300090424000002;Оказание информационной услуги по подготовке и размещению в средстве массовой информации информационных материалов, тематических проектов;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;17.01.2024
№0321200039324000003;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;18.01.2024
№0162300024524000001;Оказание услуг по предоставлению прав на условиях простой (неисключительной) лицензии программного комплекса управления процессами муниципальных закупок;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0318200030924000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""Парус-Бюджет8""";62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0151400000524000001;Оказание услуг по поддержке, адаптации и сопровождению экземпляров СПС КонсультантПлюс в сфере ИКТ;62.01.29.000: Оригиналы программного обеспечения прочие;16.01.2024
№0871200001024000002;Оказание услуг по адаптации и сопровождению справочно-правовой системы «Консультант плюс»;62.01.29.000: Оригиналы программного обеспечения прочие;18.01.2024
№32413200237;оказание услуг по предоставлению справочно-правовой системы для нужд ГАПОУ ПО ПКИПТ ИТ-колледж;62.09.20.120: Услуги по установке программного обеспечения;22.01.2024
№0318200035124000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0364100008024000001;"Оказание услуг по информационно-технологическому и методическому сопровождению (1С:ИТМС) программного продукта «1С:Предприятие» для нужд ФГБУ ""Управление ""Тамбовмелиоводхоз"".";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413212252;"Приобретение и сопровождение лицензий ""Конур Экстерн""";62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0318200030524000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.3: Услуги по технической поддержке информационных технологий;17.01.2024
№0342300210324000001;"Оказание услуг по информационному сопровождению в 2024 году программного обеспечения АИС ""ИМЦ: Учет лекарственных средств бюджетного учреждения"" для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Самарская стоматологическая поликлиника № 2 Промышленного района»";62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0318200013724000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0316300092224000008;услуги по освещению деятельности ОМСУ в средствах массовой информации;63.99.1: Услуги информационные прочие, не включенные в другие группировки;17.01.2024
№0318200050324000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0348100010524000001;Оказание услуг по установке и обеспечению функционирования дополнительных средств отображения хода голосования  и предварительных результатов выборов Президента Российской Федерации в марте 2024 года ;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;15.01.2024
№0372200168124000005;ОКАЗАНИЕ УСЛУГ  ПО СОПРОВОЖДЕНИЮ И НАСТРОЙКЕ МЕДИЦИНСКОЙ ИНФОРМАЦИОННОЙ СИСТЕМЫ ДЛЯ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ  ДЛЯ НУЖД САНКТ-ПЕТЕРБУРГСКОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ «КЛИНИЧЕСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА ИМ. С.П. БОТКИНА» В 2024 ГОДУ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№0301300001624000005;Оказание услуг, обеспечивающих эффективную эксплуатацию персоналом Заказчика государственной информационной системы в сфере здравоохранения Республики Башкортостан, используемой в ГБУЗ РБ Туймазинская ЦРБ на 2024 год.;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№0187300014624000001;"Оказание услуг по сопровождению автоматизированной информационной системы ""Адресно-справочная картотека""";62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0132600018424000001;оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс.;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0119300012724000001;Оказание информационных услуг с использованием экземпляров КонсультантПлюс	;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0321500002724000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0142300011624000003;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;18.01.2024
№0848300047224000004;Оказание услуг по обслуживанию и сопровождению адаптированной под требования Заказчика информационной автоматизированной системы бухгалтерского учета на базе программных продуктов «1С:Бухгалтерия государственного учреждения 8», «Зарплата и кадры государственного учреждения 8», включая 1С:КП ЦГУ и 1С-Отчетность для МКУ« ЦБ ГО Красногорск»;62.02.3: Услуги по технической поддержке информационных технологий;16.01.2024
№0321300007524000006;Приобретение лицензий антивирусной защиты для компьютерной и серверной техники;62.01.29.000: Оригиналы программного обеспечения прочие;15.01.2024
№32413211964;Услуга по предоставлению доступа к функциональным возможностям единой цифровой платформы экспертизы;63.11.11.000: Услуги по обработке данных;25.01.2024
№0152300040524000001;"Оказание услуг по техническому сопровождению Автоматизированной системы АСГОР ""Имущество""";62.02.3: Услуги по технической поддержке информационных технологий;18.01.2024
№0142300014824000001;"Оказание услуг по предоставлению неисключительных прав использования баз данных электронной системы ""Госзаказ"" и электронной системы ""Госфинансы"" для нужд Администрации м. р. Похвистневский Самарской области ";62.03.12.120: Услуги по управлению компьютерными системами дистанционно;17.01.2024
№0328300036724000001;Оказание услуг по адаптации и сопровождению экземпляров систем Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№32413211437;Оказание услуг по предоставлению технический поддержки программ для ЭВМ;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№32413211348;поставка, адаптация и сопровождение экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413211261;Оказание услуг по технической поддержке информационных технологий (абонентское обслуживание ИТ структуры: серверов, локальной сети и обеспечение работы программных средств);62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413211228;Поставка, адаптация и сопровождение экземпляров систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413211303;Оказание услуги по подключению к сети базовых станций;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;24.01.2024
№32413211293;Предоставление в пользование аппаратно-программного комплекса (далее Сайт), состоящего из оборудования и установленных на нем экземпляров программного обеспечения автоматизированной информационной системы доступной в сети Интернет;62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;24.01.2024
№0318300383524000001;Оказание услуг по модернизации программной инфраструктуры автоматизации медицинской и административной деятельности при осуществлении лечебно-диагностических процессов в ГБУЗ «СП № 3 г. Сочи» МЗ КК и ее техническое сопровождение;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0123200000324000009;Оказание услуг по сопровождению системы для мониторинга выполнения реализуемых в рамках национальных и федеральных проектов, региональных проектов;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413211270;"заключение договора на оказание комплекса услуг по обслуживанию автоматизированной системы «М-АПТЕКА плюс» для нужд ООО ""Фармация";62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0160300003124000001;Оказание услуг по сопровождению ранее установленного Электронного периодического справочника «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413210821;Услуги по ежемесячному сопровождению программных продуктов фирмы «1С»;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413211151;Сопровождение программного продукта 1С;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413210901;Техническая поддержка модуля «Льготное лекарственное обеспечение» Регионального фрагмента единой государственной информационной системы в сфере здравоохранения Саратовской области;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413211052;Оказание услуг по комплексному сопровождению и технической поддержке программы для ЭВМ «Программа: «Smeta.ru»;63.11.11.000: Услуги по обработке данных;24.01.2024
№32413211050;"Предоставление права использования (неисключительной лицензии) программы для ЭВМ, сметных баз данных, дополнений, коэффициентов к СНБ в формате программы для ЭВМ ""Smeta.ru"" версия 11""";63.11.11.000: Услуги по обработке данных;24.01.2024
№0175200003024000011;Услуги по сервисному сопровождению и техническому обслуживанию ВЗСПД;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;17.01.2024
№32413210999;Услуги по установке, адаптации, модификации, тестированию и сопровождению программ для ЭВМ и баз данных.;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413210982;Услуги по внедрению ИСС;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;24.01.2024
№32413210974;Оказание услуг по сопровождению автоматизированной системы управления производственно-хозяйственной деятельностью (АСУ ПХД) ООО «Газпром ПХГ» на платформе «1С: Предприятие 8» (для субъектов малого и среднего предпринимательства (1231);62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;24.01.2024
№0322200031824000007;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс, в т.ч. специальной копии систем, установленных у Заказчика;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413210962;на право заключения договора на оказание услуг по разработке сценариев для системы интерактивного обучения производственного персонала с использованием VR-технологий  для нужд ООО «Шереметьево Хэндлинг»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;24.01.2024
№32413207868;Оказание услуг по модернизации системы защиты информации Краевого государственного унитарного предприятия «Примтеплоэнерго»;62.01.29.000: Оригиналы программного обеспечения прочие;24.01.2024
№0122200002524000145;Передача права использования технической поддержки технологической платформы единого комплекса официальных порталов и сайтов Правительства Хабаровского края;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0372200286024000001;Оказание Услуг по адаптации и сопровождению адаптированных экземпляров систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413210917;"Оказание услуг по поставке ключа активации сервиса прямой технической поддержки уровня ""Стандартный"" для комплекса безопасности ""Континент"" с правом на использование базы решающих правил (сигнатур) СОВ, сроком действия 1 год";62.01.29.000: Оригиналы программного обеспечения прочие;24.01.2024
№32413210910;24Т0410010.0081 Оказание услуг по сопровождению автоматизированных систем «Управление автотранспортом» (УАТ) и «Центр спутникового мониторинга» на базе «1С: Предприятие 8» для нужд ПАО «Россети Северо-Запад»;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0358300160924000001;услуги видеонаблюдения с передачей видеопотока через единую дежурно-диспетчерскую службу г. Каменск-Шахтинский в региональную информационную систему аппаратно-программного комплекса «Безопасный город»;63.11.21.000: Услуги по передаче потокового видео;16.01.2024
№0372200159324000001;Оказание услуг по обслуживанию автоматизированных рабочих мест и оргтехники в Государственном бюджетном дошкольном образовательном учреждении детском саду №83 Фрунзенского района Санкт-Петербурга в 2024-2025 году;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413210800;Оказание услуг по сопровождению подсистемы «Учебная часть» информационной системы управления учебным процессом (АСУ ВУЗа).;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;24.01.2024
№0348500001124000001;Оказание услуг - лицензия на право использования СКЗИ КриптоПро вер.5.0+формуляры;62.01.29.000: Оригиналы программного обеспечения прочие;15.01.2024
№32413210745;Оказание услуг по сопровождению и технической поддержке программы по обработке первичных лабораторных данных ;63.11.11.000: Услуги по обработке данных;24.01.2024
№32413210735;Оказание услуг по сопровождению информационно-аналитической системы «Аналитика-СМАРТ» с предоставлением права использования программы ЭВМ (простой неисключительной лицензии);"62.03.12.130: Услуги по сопровождению компьютерных систем; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение";24.01.2024
№32413210667;Оказание услуг по внедрению программно-технического комплекса;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;24.01.2024
№0815500000524000070;Оказание услуг по адаптации и сопровождению ранее установленного у Заказчика Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники) (далее — ЭПС «Система ГАРАНТ»), содержащего информацию о текущем состоянии законодательства Российской Федерации, путем предоставления формируемых Исполнителем экземпляров текущих версий специальных информационных массивов (далее — СИМ) ЭПС «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0162200001324000001;Оказание услуг по предоставлению сертификатов технической поддержки  системы защиты сети передачи данных ViPNet для нужд Управления социальной политики № 26;62.02.3: Услуги по технической поддержке информационных технологий;16.01.2024
№0301300020424000007;Оказание  услуг по адаптации и сопровождению справочной программы системы Консультант плюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№0818500005624000001;"Оказание услуг по предоставлению сертификата на техническую поддержку программного продукта ""Парус-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413210607;Оказание услуг по обеспечению функционирования системы дистанционного мониторинга и раннего обнаружения лесных пожаров на территории Архангельской области;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0149200002324000014;"Оказание услуг по информационно-технологическому и методическому сопровождению программных продуктов ""1С:Предприятие 8"" (1С:ИТМС Бюджет на 1 мес. с пакетом услуг 313 часов и 1С:КП ГУ ПРОФ на 11 мес.)";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413210441;Оказание комплекса услуг по освещению деятельности органов государственной власти Московской области в общественно-политических, экономических и культурных Telegram-каналах федерального значения;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;24.01.2024
№0134200000124000020;Оказание услуг по техническому сопровождению централизованной системы «Управление льготным лекарственным обеспечением»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0342100007424000001;	 Оказание услуг по адаптации и сопровождению с использованием экземпляров Систем КонсультантПлюс;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;16.01.2024
№32413209909;Доработка информационной системы для нужд АО «Облкоммунэнерго»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;24.01.2024
№0171300002024000001;Оказание услуг по техническому сопровождению программных продуктов «АС «Бюджет», АС «УРМ», ПО «Сервер обмена данными», а также дополнительных программных модулей и функциональных возможностей к этим программным продуктам;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;15.01.2024
№0134200000124000006;Оказание услуг по сопровождению информационной системы «Автоматизированная система сбора бюджетной (бухгалтерской) отчетности», созданной на базе программы для ЭВМ «Формирование консолидированной бюджетной и произвольной отчетности (Свод-СМАРТ)»;"62.03.12.130: Услуги по сопровождению компьютерных систем; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение";15.01.2024
№0134200000124000010;"Оказание услуг по сопровождению региональной информационной системы Иркутской области в сфере закупок, созданной на базе автоматизированной информационной системы ""АЦК-Госзаказ""";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0888600001124000002;Услуги по сопровождению компьютерных систем и обслуживанию оргтехники;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413210339;Оказание услуг по сопровождению, обновлению, информационному обслуживанию ПП 1С:Предприятие 8;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413210336;Оказание услуг по системному обслуживанию баз данных и программных средств автоматизированной системы службы капитана порта СКАП;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0321300007524000004;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413209808;Информационное обслуживание справочно-информационной системы «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413209249;"на оказание услуг по сопровождению ранее реализованного электронного периодического справочника ""Система гарант""";62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0318200006524000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413210265;Оказание услуг по адаптации, модификации и сопровождению программы «1С: Предприятие 8. Управление автотранспортом»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;24.01.2024
№0352200044424000001;Оказание услуги по адаптации и сопровождению экземпляров систем КонсультантПлюс (Реестровый номер 2024.002036);62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413210227;Выполнение работ по оказанию IT услуг;62.03.12.110: Услуги по управлению компьютерными системами непосредственно;24.01.2024
№32413210215;консультационные услуги по программам продукта 1:С;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;24.01.2024
№32413210126;Право заключения договора на оказание информационных услуг с использованием экземпляров Систем КонсультантПлюс на 2024 год.;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;24.01.2024
№0848300048424000003;"Оказание услуг по ежемесячному информационно-технологическому сопровождению (ИТС) и обслуживанию программных продуктов 1С для нужд МБУ Ленинского городского округа ""МФЦ""";62.02.3: Услуги по технической поддержке информационных технологий;15.01.2024
№0187300001724000020;Оказание услуг по обслуживанию и сопровождению лицензионных программных продуктов системы «1С:Предприятие 8»: «1С: Бухгалтерия государственного учреждения КОРП», «1С: Зарплата и кадры государственного учреждения»;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413207368;Оказание услуг по консультационно-технологическому сопровождению прикладных программ (ИнТеП-Зарплата);62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413192232;Оказание услуг по передаче и адаптации справочной правовой системы;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;18.01.2024
№32413209969;0022/Оказание услуг по сопровождению системы нормативно-технической документации;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413208918;Оказание услуг по внедрению и операционной поддержки программного продукта «Neon» CRM;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;24.01.2024
№0349300056824000007;Оказание услуг по размещению и трансляции текстовых сообщений в телевизионном эфире на территории ЗАТО г. Островной;63.91.12.000: Услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации;15.01.2024
№0158200002824000001;Оказание услуг по адаптации и сопровождению установленной справочно-правовой системы КонсультантПлюс в министерстве имущественных и земельных отношений, финансового оздоровления предприятий, организаций Ростовской области;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№32413209758;Оказание услуг по комплексному сопровождению программного продукта «Аверс: Управление лесным фондом ПРОФ»;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0818500002924000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413209679;Продление неисключительных прав использования баз данных;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;24.01.2024
№0318300537924000003;Оказание услуг по комплексному техническому обслуживанию Лабораторной Информационной Системы АЛИСА (ЛИС АЛИСА);62.02.3: Услуги по технической поддержке информационных технологий;16.01.2024
№0342300000824000001;"Оказание услуг по сопровождению программного продукта ""Парус-Бюджет 7"" для нужд государственного бюджетного учреждения здравоохранения Самарской области ""Кинель-Черкасская центральная районная больница""";62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№32413164027;на право заключения договора на оказание услуг по предоставлению канала связи L2 с пропускной способностью 100 Мб/с для нужд АО «МАШ»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;10.01.2024
№0119300003424000004;Оказание услуг по размещению информационных материалов в газете;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;16.01.2024
№32413209453;"Оказание услуг по годовому обновлению Базы данных ""Государственные сметные нормативы 2022 в формате ПК АВС""";62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№32413209002;"Оказание услуг по техническому сопровождению программного обеспечения ""1С""";62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№32413209441;"Оказание услуг по обновлению программного комплекса ""АВС""";62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0362200018624000007;"Предоставление права на использование обновлений версии ПК ""Гранд-Смета"" в течение года на одном рабочем месте";62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№0815500000524000089;"Услуги по сопровождению разрабатываемого Электронного периодического справочника ""Система ГАРАНТ"" (информационного продукта вычислительной техники), содержащего информацию о текущем состоянии законодательства Российской Федерации";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0328300034724000001;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
