Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413197916;Поставка, адаптация и сопровождение экземпляров систем Консультант Плюс.;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;22.01.2024
№0322300008424000001;"Оказание информационных услуг с использованием экземпляров справочно-правовой системы ""ГАРАНТ""";62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№0875500000424000004;Оказание услуг по сопровождению ранее установленного Электронного периодического справочника «Система ГАРАНТ»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413198447;"Услуга информационно-технологического сопровождения программ ""1С: ""Предприятие"" ";62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413197877;Оказание  услуг по адаптации, модификации и сопровождению программных продуктов для ЭВМ «1С:Бухгалтерия государственного учреждения 8», «1С:Зарплата и кадры государственного учреждения 8» ;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413198061;Оказание услуг по обслуживанию, доработке и техническому сопровождению сайта https://frp74.ru/;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413198043;Услуги, обеспечивающие эффективную эксплуатацию персоналом поликлиники Государственной информационной системы в сфере здравоохранения Республики Башкортостан (ГИСЗ РБ);62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413198359;информационно-вычислительное обслуживание компьютерного оборудования;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413198345;"Работы по ежемесячному сопровождению программных продуктов фирмы ""1С""";62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0318200006624000001;Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№0139200000124000067;"Оказание услуг по информационно-технологическому сопровождению программного продукта ""1С:Предприятие 8""";62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0351300215724000001;Оказание услуг по подготовке и размещению в печатных средствах массовой информации муниципальных нормативных правовых актов Мошковского района Новосибирской области, информационных материалов социально значимой направленности;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;12.01.2024
№32413198240;Услуги по информационно-технологическому сопровождению государственной информационной системы «Система электронного документооборота» органов исполнительной власти Чувашской Республики;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413197795;ОКПД2 62.02.30 Услуги по сопровождению ИСС «Техэксперт»;62.01.29: Оригиналы программного обеспечения прочие;22.01.2024
№32413197777;Оказание услуг по информационному обслуживанию (1С);62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413197629;"Оказание услуг по сопровождению прикладного  программного обеспечения , установленного в государственном бюджетном учреждении  здравоохранения Самарской области  "" Самарская городская клиническая стоматологическая поликлиника №1""в 2024 году";62.03.12.130: Услуги по сопровождению компьютерных систем;21.01.2024
№0304100007424000001;Оказание информационных услуг с использованием экземпляров справочно-правовой системы Консультант Плюс;63.11.11.000: Услуги по обработке данных;11.01.2024
№32413197489;Оказание услуг по технической и консультативной поддержке функционирования автоматизированной информационной системы «Персонифицированное финансирование дополнительного образования»;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№32413197457;Оказание услуг по сопровождению программных продуктов 1с;62.03: Услуги по управлению компьютерным оборудованием;19.01.2024
№32413197383;Оказание услуг по сопровождению правовой справочной системы КонсультантПлюс;63: Услуги в области информационных технологий;19.01.2024
№32413197375;Предоставление Пользователю на условиях простой (неисключительной) лицензии права на использование программ для электронно-вычислительных машин (ЭВМ) и Баз данных;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413194887;Оказание услуг по внедрению лабораторной информационной системы для нужд клиники ФГБОУ ВО ЧГМА Минздрава России;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;19.01.2024
№32413196608;Договор поставки, адаптации и сопровождения экземпляров Системы Консультант Плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0104200000824000001;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Избирательной комиссии Кабардино-Балкарской Республики  экземплярами Систем КонсультантПлюс для нужд Избирательной комиссии Кабардино-Балкарской Республики;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№0358400002424000001;Услуги по обслуживанию локальной вычислительной сети Учреждения;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413197289;Оказание услуг по подготовке и размещению информационных материалов и сообщений об общественно-политическом, социально-экономическом и культурном развитии Вологодской области, деятельности органов исполнительной государственной власти Вологодской области на Интернет-ресурсе информационного агентства (ИА1);63.91.1: Услуги информационных агентств;19.01.2024
№32413197263;"Техническое и информационное сопровождение комплекса программного обеспечения ""А0"" для Windows";62.03.12.120: Услуги по управлению компьютерными системами дистанционно;19.01.2024
№0301300024824000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе спец.лиценз.сервис.програм.обеспечения для ГКУЗ РБ Санитарный автотранспорт г. Стерлитамак на 2024 г.;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413196356;Оказание услуг по разработке и сопровождению программного обеспечения для эффективного контракта ППС;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413197161;Аукцион в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на поставку лицензий программного обеспечения системы управления печатью в 2024 году;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№32413194532;Приобретение лицензии на использование системы SCIENCE INDEX(программа для ЭВМ) для нужд ФГБОУ ВО ЧГМА Минздрава России;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№32413196724;Поставка, адаптация и сопровождение экземпляров Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413197075;"Предоставление абонемента удалённого доступа по сети Интернет к экземплярам профессиональных справочных систем «Техэксперт» на порталах ПСС для ФГБУ ""Центральное УГМС""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№32413197055;Оказание услуг по технической поддержке и сопровождению официального сайта Организации;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413197042;Поставка (продление срока действия) гарантийных сертификатов производителя средств криптографической защиты информации;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№32413197015;2024/9-64 Предоставление неисключительного права использования лицензии Kaspersky Antidrone Russian Edition;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;19.01.2024
№32413197008;Оказание информационно-консультационных услуг;63.99.1: Услуги информационные прочие, не включенные в другие группировки;19.01.2024
№32413196125;"Услуги по установке, тестированию, сопровождению программ для ЭВМ системы ""1С: Предприятие"" ";62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413194734;"Оказание услуг по адаптации и информационному сопровождению справочной правовой системы ""КонсультантПлюс""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413196924;Оказание услуг по адаптации и сопровождению Экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413196031;ИТС;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0158300024624000001;Оказание услуг по комплексному сопровождению и развитию системы электронного документооборота CompanyMedia 4.6, системы Нормотворчество, системы Сопровождения заседаний, программной платформы IBM Domino Collaboration Express;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№0122100013224000001;оказание услуг по абонентскому обслуживанию и информационно-вычислительному сопровождению экземпляров программных продуктов «Парус» для нужд следственного управления Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№0304300063224000010;Оказание услуг по техническому сопровождению при эксплуатации специального программного обеспечения информационной системы, выполняющей функции региональной государственной информационной системы в сфере здравоохранения по Кабардино-Балкарской республике.;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№0375200049024000003;"Оказание услуг по сопровождению лабораторной информационной системы ""LabForce""";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413196808;Платные услуги комплексной технической поддержки программного обеспечения Сайта Заказчика;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413196790;поставка адаптации и сопровождение экземпляров Систем КонсультантПлюс;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;19.01.2024
№32413195739;Оказание услуг по адаптации и сопровождению Системы КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413194573;Оказание услуг по комплексному обслуживанию информационно-телекоммуникационной инфраструктуры;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413196756;Определение исполнителя на оказание услуг по технической поддержке и приобретению неисключительных прав на программное обеспечение Smeta.ru для нужд ПАО «Россети Московский регион»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0169300028424000002;Оказание услуг по информационному сопровождению пакета системы               справочно-правовой системы «Консультант Плюс» для нужд администрации Кизильского муниципального района;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;10.01.2024
№0146200002224000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;11.01.2024
№32413196711;Оказание услуг по технической поддержке и услуг по адаптации и техническому сопровождению системы Инталев: Корпоративный менеджмент 7 ;62.01.11: Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения;19.01.2024
№32413196680;Оказание услуг Специализированной организацией по информационно - консультационному и техническому сопровождению закупок товаров, работ, услуг;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;19.01.2024
№32413196678;Настройка, адаптация, модификация и комплексное сопровождение и обслуживание лицензионных программных продуктов программы 1С (62.02.30.000 — Услуги по технической поддержке информационных технологий)»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413196459;Подключение, адаптация и сопровождение установленных у Заказчика экземпляров Систем Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0162300059524000001;" Оказание услуг по предоставлению неисключительного (пользовательского) права на использование программ для ЭВМ:""Бюджет-СМАРТ Про"" ";62.03.12.130: Услуги по сопровождению компьютерных систем;10.01.2024
№32413196669;"Конкурс в электронной форме на право заключения договора на оказание услуг по разработке электронной и интерактивной версий годового отчета АО ""Мосводоканал"" за 2023 год";63.11.11.000: Услуги по обработке данных;19.01.2024
№32413194850;Оказание услуг по сопровождению и обновлению существующих лицензий программы электронной версии ПК «Гранд-смета»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413195704;"210694_К_Оказание информационных услуг в СМИ для нужд ООО ""БашРТС""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№32413196540;Датареон расширенная лицензия;62.02: Услуги консультативные, связанные с компьютерной техникой;19.01.2024
№0162300017924000005;Оказание услуг по установке обновлений и технической поддержке программного обеспечения по учету земельных участков и имущества муниципального образования;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413196496;"Оказание услуг по информационному обслуживанию программного обеспечения ""UFR Претензионная работа""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413196021;Оказание информационных услуг;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0134200016324000001;Оказание услуг по адаптации и сопровождению экземпляров Справочной Правовой Системы КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413194589;"Техническое сопровождение и Техническое обслуживание Автоматизированной информационной системы ""Планирование и мониторинг транспортирования ТКО""";62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413195861;"Системно-техническое обслуживание АИС ""БАРС.WEB-Своды""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413196270;"Услуги по информационно-технологическому сопровождению ""1С: Предприятие""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0162100015424000001;Сопровождение справочно-правовых систем;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;11.01.2024
№0168300000424000001;Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№0859300019624000001;Оказание услуг по подготовке и размещению информации о деятельности Рязанской городской Думы и иной официальной информации в электронном СМИ (интернет);63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;11.01.2024
№0340200003324000009;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№0129200003724000001;Услуги информационных агентств, предоставляемые газетам и периодическим изданиям, для обеспечения нужд Волгоградской областной Думы;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;10.01.2024
№32413193965;Оказание услуг по передаче неисключительных прав на использование функционала модулей медицинской информационной системы «Байкал» для нужд ГАУЗ «РСП».;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0159300026024000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в администрации муниципального образования - Милославский муниципальный район Рязанской области экземплярами Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№0301200034624000003;Услуги по абонементному информационно-технологическому сопровождению программных продуктов системы «1С:Предприятие»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413196083;"Оказание услуг по конфигурированию, наладке и техническому сопровождению программной платформы SCADA-системы SEDMAX 2.0 для нужд АО ""Горэлектросеть""";62.02.30: Услуги по технической поддержке информационных технологий;19.01.2024
№32413196079;Оказание услуги по технической поддержке и сопровождению официального сайта театра с доменным именем http://www.tyuz-spb.ru;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№32413194262;Ежедневный обзор СМИ ;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№32413195969;Оказание услуг по технической поддержке сайта kantetdist.ru;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413195960;"Оказание услуг по техническому обслуживанию диспетчерского мнемощита ЩДМ-25 АО ""Горэлектросеть""";62.02.30: Услуги по технической поддержке информационных технологий;19.01.2024
№32413194100;Предоставление права использования программного обеспечения на условиях простой (неисключительной) лицензии без права сублицензирования, на территории Кемеровской области, и оказание услуг по разработке, внедрению, и сопровождению программного обеспечения согласно требованиям Лицензиата ;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;19.01.2024
№32413195827;Услуги информационно-технологического сопровождения, консультационного сопровождения, услуги по адаптации и настройке программных продуктов «Водоканал «Расчеты с населением», «Водоканал: Расчеты с юридическими лицами» ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№32413195795;Оказание услуг по технической поддержке сайта;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0302300048724000003;Оказание услуг по сопровождению контрактной системы управления закупками товаров, работ, услуг города Улан-Удэ;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413195768;Услуги передачи данных абонентской базы «Водоканал: Расчеты с населением» в Государственную информационную систему жилищно-коммунального хозяйства;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0168500000624000001;предоставление инженерной инфраструктуры для размещения ИТ оборудования и организации центра обработки данных ОГКУ «Правительство для граждан».;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;11.01.2024
№0165300003324000001;Услуги по сопровождению Программы для ЭВМ «БАРС.Бюджет Онлайн» модуль «БАРС.Бюджет-Отчетность» для нужд Управления образования Администрации Колпашевского района в 2024 году;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413195518;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413195502;Услуги по настройке и сопровождению АТС предприятия, созданию и содержанию в надлежащем состоянии VPN соединений между удаленными участками предприятия для создания защищенной корпоративной сети передачи данных (КСПД), администрированию почтового сервера, SQL сервера, а также организации резервного копирования и обслуживания серверного оборудования;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0301600009324000001;"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в МУНИЦИПАЛЬНОМ БЮДЖЕТНОМ УЧРЕЖДЕНИИ ""ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ ГОРОДСКОГО ОКРУГА ГОРОД СИБАЙ РЕСПУБЛИКИ БАШКОРТОСТАН"" экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс)";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№0322200007124000002;Поставка электронного периодического справочника;63.99.1: Услуги информационные прочие, не включенные в другие группировки;12.01.2024
№32413193074;Услуги по адаптации и сопровождению экземпляров Систем Консультант Плюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ГУДП «Экспромт» экземплярами Систем Консультант Плюс (в том числе и специальной копией Системы Консультант Плюс) для нужд ГУДП «Экспромт»;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413193212;"Оказание услуг по предоставлению доступа к информационно-правовым базам типа ""Консультант плюс"" в г. Владивосток";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0173300000824000002;оказание информационных услуг по предоставлению и сопровождению электронного периодического справочника «Система ГАРАНТ» для нужд Администрация МО Крылатское в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№0888600000224000001;Оказание услуг по сопровождению справочно-правовой системы «КонсультантПлюс»;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;11.01.2024
№32413193290;На передачу неисключительных прав использования версии Электронной системы «Госфинансы» (е-ГФ) -  базы данных Справочная система «Госфинансы Плюс»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№32413195235;Выполнение работ по разработке, адаптации и модификации программ для ЭВМ и баз данных (программных средств и информационных продуктов вычислительной техники) (среди субъектов малого и среднего предпринимательства).;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413194302;Услуги по адаптации и сопровождению системы Консультант Плюс;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413195206;Оказание услуг по доступу к обновлению и техническому обслуживанию программного продукта «F3TAIL»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413195169;оказание услуг по программно-техническому сопровождению эксплуатации программного обеспечения номенклатурного товарного учета лекарственных средств АС «Коммерческий склад» и ПК «Фарм-Офис» ;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;19.01.2024
№32413194792;Поставка оборудования, используемого для осуществления озвучивания и передачи данных в сеть интернет при проведении массовых мероприятий;"26.40.51.000: Части и принадлежности звукового и видеооборудования; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки; 26.20.22.160: Энергозависимые части системы компьютерной (оперативная память)";19.01.2024
№32413193557;Поставка, адаптация и сопровождение экземпляров Систем Консультант Плюс Универсал смарт-комплект Оптимальный;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;19.01.2024
№0362300300024000001;Выполнение комплекса работ по сопровождению и технической поддержке программного обеспечения и баз данных муниципальной геоинформационной системы Кушвинского городского округа;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
