Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0372200119424000001;Оказание услуг по продлению неисключительных (пользовательских) лицензионных прав на использование программы для ЭВМ «Адепт.Проект» для нужд Санкт-Петербургского государственного бюджетного учреждения «Служба заказчика администрации Центрального района Санкт-Петербурга»;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0333300008024000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс).;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0352200039824000026;Оказание услуг по технической поддержке средств криптографической защиты информации ViPNet, применяемых для защиты электронного документооборота (Реестровый номер 2024.004276);62.02.3: Услуги по технической поддержке информационных технологий;19.01.2024
№0862300040424000001;Оказание услуг по сопровождению электронного периодического справочника «Система Гарант» (справочно-правовая система), содержащего информацию о текущем состоянии законодательства Российской Федерации, путем предоставления текущих версий комплекта ЭПС «Система ГАРАНТ» (справочно-правовой системы);63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;29.01.2024
№32413221006;"Передача прав пользования программным обеспечение ""Планы СПО"" и ""Планы""";62.01.29.000: Оригиналы программного обеспечения прочие;29.01.2024
№0373100078724000018;Оказание услуг по лицензионному сопровождению (предоставление обновлений ядра МИС МЕДИАЛОГ) версии ENTERPRISE на 2024 год и передачу права использования (простая неисключительная лицензия) на модули «МДЛП», «Mobimed», «Телемедицина», опцию «Онлайн-оплата»;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;18.01.2024
№0358300041024000001;Услуги по предоставлению неисключительных (пользовательских) прав на использование программных комплексов «Свод-СМАРТ»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0318200011624000003;услуги по технической поддержке и сопровождению интернет сайта организации;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0122300006324000005;Оказание услуг по модернизации программно-го продукта «1С Предприятие» путем настрой-ки интеграции с информационной системой электронного документооборота «Диадок».;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0375200004424000001;Оказание консультационных услуг по сопровождению и модификации (изменению программного кода) единого комплекса программных средств;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0318200011924000001;"сертификат на техническую поддержку программного продукта ""Парус-Бюджет-8""";62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0375200040224000028;Предоставление продления неисключительных (пользовательских) прав на использование программы для ЭВМ: «Программа когнитивной реабилитации «Нейроника»;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№0328300032824000010;Оказание консультационно-информационных услуг по адаптации и сопровождению программных продуктов 1С:Преприятие «(1С:Бухгалтерия государственного учреждения 8», 1С:Зарплата и кадры государственного учреждения 8) в рамках информационно-технологического сопровождения КП ГУ ПРОФ на 12 месяцев;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№32413221280;Оказание услуг по технической поддержке и сопровождению информационно-программных средств, в части кадрового учета и штатного расписания, установленного в СС и НМП им. А.С. Пучкова в 2024 г.;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0318200033224000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0351300020024000003;Оказание услуг по предоставлению неисключительных прав использования базы данных ГАРАНТ (2024 год);62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0139200000124000296;Оказание услуг в  области информационных технологий: сопровождение программного комплекса VipNet  для Новокузнецкого филиала ГБУЗ ККОД;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0376100000424000002;"Услуги по сопровождению Электронного периодического справочника ""Система Гарант"" в 2024 году";62.09.20.120: Услуги по установке программного обеспечения;29.01.2024
№32413220922;"Информационные услуги по предоставлению доступа по сети Интернет к экземплярам информационно-справочных систем  ""Техэксперт""";62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;29.01.2024
№0318300237324000001;Передача Сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0140300040824000109;Оказание услуг по созданию и размещению на интернет-портале информационных материалов;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;29.01.2024
№0318200008724000002;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0171300003924000001;"Оказание услуг по сопровождению АС ""Бюджет"", его компонентов и АС ""УРМ"" (2 р.м.)";62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0302200001124000006;Оказание услуг по сопровождению справочно-правовой системы;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0320300000724000005;Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;28.01.2024
№0318200037424000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8» на первое полугодие 2024 года;62.02.30.000: Услуги по технической поддержке информационных технологий;28.01.2024
№32413220677;Закупка услуг по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;28.01.2024
№32413220504;"Оказание услуг по технической и контентной поддержке сайта МУК ""Рыбинский театр кукол";63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;27.01.2024
№32413220296;Услуги по адаптации и сопровождению ранее установленных справочно-правовых систем КонсультантПлюс;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;26.01.2024
№0160300057524000001;Оказание услуг по адаптации и сопровождению ранее установленных электронных баз данных Справочной правовой системы (СПС) КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№32413220279;Выполнение работ по развитию демонстрационной версии программного обеспечения для участников государственной итоговой аттестации по образовательным программам основного общего образования при проведении экзаменов в форме основного государственного экзамена в компьютерной форме;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;26.01.2024
№0318300058324000006;"Оказание услуг по сопровождению системы электронного документооборота в администрации муниципального образования Староминский район (СЭД ""Дело"")";62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№32413220191;оказание услуг по подключению, адаптации и сопровождению СПС «КонсультантПлюс» ;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;26.01.2024
№0124300016024000009;"Оказание информационных услуг с использованием экземпляров специального выпуска системы КонсультантПлюс, принадлежащих администрации МО ""Коношское""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;18.01.2024
№32413220122;Оказание услуг по пользованию аппаратно-программным комплексом цифрового хранения материалов для подготовки и доставки обязательных экземпляров продукции, созданной для теле-и/или радиовещания;62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;26.01.2024
№0165200000124000011;Оказание услуг по эксплуатации программных средств региональной инфраструктуры электронного правительства в части организации взаимодействия органов власти Томской области с программным решением Федерального реестра государственных услуг (функций);62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№2084700000124000001;Оказание услуг по сопровождению прикладных программ финансово-экономического назначения (1С);62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№32413219428;210914_ОК, участниками которого являются только субъекты малого и среднего предпринимательства на право заключения договора  Лот 1: Установка и сопровождение информационно-справочной системы Техэксперт для ООО «Башэнерготранс» ;62.09.20.120: Услуги по установке программного обеспечения;26.01.2024
№0126300029124000007;"Оказание услуг по сопровождению программного комплекса ""SAUMI""";62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0315100000524000001;Оказание  услуг по базовому сопровождению медицинской информационной системы «Медиалог» и передаче прав пользования;"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";26.01.2024
№2084700000124000002;Оказание информационных услуг по адаптации и сопровождению экземпляров Системы «Консультант Плюс»;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№0160300003624000015;Услуги по технической поддержке информационных технологий - Оказание  услуги по обновлению программного обеспечения АС «УРМ»;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№0318200054824000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413218378;Оказание услуг по внедрению;62.02.20.140: Услуги по подготовке компьютерных систем к эксплуатации;26.01.2024
№0358300052924000001;"Услуги по информационному сопровождению для ГБУ РО ""ЦРБ"" в Целинском районе на 2024 год.";62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0358300052924000002;"Услуги по информационному сопровождению для ГБУ РО ""ЦРБ"" в Целинском районе на 2024 год.";62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№32413220063;Поставка лицензии на ПО Антивирус;62.01.29.000: Оригиналы программного обеспечения прочие;26.01.2024
№0845500000224000002;оказание услуг по обновлению, модернизации, информационному сопровождению, формированию и адаптации раннее установленных экземпляров комплектов и/или частей комплектов (информационных блоков, разделов) текущих версий электронного периодического справочника «Система ГАРАНТ», содержащих информацию о текущем состоянии законодательства Российской Федерации для нужд ГКУ ЛО «ДДЛО» в 2024 году;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;18.01.2024
№0163200000324000175;0094 (аэф/у) Оказание услуг по технической поддержке и абонентскому обслуживанию автоматизированной системы управления государственным и муниципальным имуществом Смоленской области, используемой Министерством имущественных и земельных отношений Смоленской области на основании неисключительных прав на программное обеспечение автоматизированной системы управления государственным и муниципальным имуществом (АС «УГМИ»), системы межведомственного взаимодействия «СМЭВ-ДИАЛОГ» (СМВ «СМЭВ-ДИАЛОГ»).;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№32413192418;"Оказание услуг по предоставлению онлайн доступа к  информационно-справочной системе « Техэксперт: Лаборатория. Инспекция. Сертификация» для нужд филиала ФБУЗ ""Центр гигиены и эпидемиологии в Воронежской области"" в Семилукском, Нижнедевицком, Репьевском, Хохольском районах";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;18.01.2024
№0190200000324000058;Оказание услуг по предоставлению прав и сопровождению справочно-правовой системы;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0375200028124000010;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0358300052924000003;"Услуги по информационному сопровождению для ГБУ РО ""ЦРБ"" в Целинском районе на 2024 год.";62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0145200000424000030;Выполнение работ по развитию государственной информационной системы обеспечения градостроительной деятельности Ленинградской области;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;26.01.2024
№32413218324;№02/223/Ед24 на приобретение простой (неисключительной) лицензии на ПК «Voice2Med» на 16 АРМ в комплекте с гарнитурами для нужд Тюменского кардиологического научного центра;"58.29.29.000: Обеспечение программное прикладное прочее на электронном носителе; 26.40.42.120: Телефоны головные, наушники и комбинированные устройства, состоящие из микрофона и громкоговорителя; 26.30.23.111: Модемы и модули связи для работы в проводных сетях связи (сетевые карты и адаптеры); 62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.20.130: Услуги по обучению пользователей; 62.02.30.000: Услуги по технической поддержке информационных технологий";26.01.2024
№0372200223824000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ГБОУ ШКОЛА № 606 ПУШКИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА экземплярами Систем КонсультантПлюс (в том числе специальной копии Системы) в 2024 году;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;26.01.2024
№0149200002324000028;"Оказание услуг по адаптации и сопровождению экземпляров систем СПС ""КонсультантПлюс""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;18.01.2024
№32413220012;"Оказание услуг по адаптации и сопровождению экземпляров Системы ""КонсультантПлюс"" для нужд филиала по г. Санкт-Петербургу и Ленинградской области на период с 01.03.2024 г. по 28.02.2025 г.  ";62.01.29.000: Оригиналы программного обеспечения прочие;26.01.2024
№32413220009;Услуга по сопровождению, адаптации и модификации программ для ЭВМ на платформе 1С;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0172300001124000001;Оказание услуг по адаптации и сопровождению экземпляров систем СПС Консультант Плюс для нужд местной администрации внутригородского муниципального образования Санкт-Петербурга Муниципальный округ Дворцовый округ в 2024 году;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;18.01.2024
№32413219071;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0322200000224000003;"Оказание услуг по сопровождению программного обеспечения ""1С""";62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0301300087524000003;Услуга, обеспечивающая эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан.;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0346200015624000002;Оказание услуг по технической поддержке Информационной системы управления проектами государственного заказчика в сфере строительства (ИСУП).;62.02.3: Услуги по технической поддержке информационных технологий;26.01.2024
№0862300000124000001;на оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КоксультантПлюс ;62.01.29.000: Оригиналы программного обеспечения прочие;26.01.2024
№32413218132;Оказание информационных услуг систем КонсультантПлюс.;62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;26.01.2024
№0320200025724000018;Оказание услуг по модернизации систем защиты информации для нужд краевого государственного казенного учреждения «Приморский центр занятости населения»;"62.02.3: Услуги по технической поддержке информационных технологий; 74.90.2: Услуги профессиональные, технические и коммерческие, прочие, не включенные в другие группировки";26.01.2024
№32413219454;"Оказание услуг по информационному сопровождению  программного обеспечения автоматизированных систем, установленных в государственном бюджетном учреждении  здравоохранения Самарской области  "" Самарская городская клиническая стоматологическая поликлиника №1"" в 2024 году ";62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№32413219878;Оказание услуг по технической поддержке подсистемы «Программный продукт для управления сферой физической культуры и спорта в Тульской области» региональной информационной системы Правительства Тульской области;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№0711200007624000010;"Оказание информационных услуг по сопровождению имеющейся справочной правовой системы (далее по тексту СПС) в виде предоставления информации о текущем состоянии законодательства Российской Федерации и Республики Татарстан с использованием экземпляров ЭПС «Система ГАРАНТ», обеспечивающих совместимость информационных услуг с установленными ранее у Заказчика экземплярами ЭПС «Система ГАРАНТ» (компьютерная база данных) для ГАУЗ ""Камский детский медицинский центр"" на 2024 год";62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№32413219826;"КО №1511/КО - Сопровождение автоматизированной системы обработки обращений заявителей (АС ООЗ) в Управлении и филиалах Невский, Кольский, Карельский ПАО ""ТГК-1 (D24P100871)";62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№0325300059324000024;"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс (в том числе специальной копии системы), оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс для нужд ГБУЗ АО ""Камызякская районная больница""";62.03.12.130: Услуги по сопровождению компьютерных систем;21.01.2024
№0121600003824000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у МБУ МФЦ НМО экземплярами Систем КонсультантПлюс в 2024 году.;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0372200119624000001;Оказание услуг по предоставлению доступа к онлайн сервису «Олимп» в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0158200004224000004;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;18.01.2024
№32413218852;"Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы ""Консультант Плюс""";62.01.29.000: Оригиналы программного обеспечения прочие;26.01.2024
№0351100008224000007;ОКАЗАНИЕ УСЛУГ ПО АДАПТАЦИИ И СОПРОВОЖДЕНИЮ ЭКЗЕМПЛЯРОВ СИСТЕМ КОНСУЛЬТАНТПЛЮС, ВКЛЮЧАЯ СПЕЦИАЛЬНУЮ КОПИЮ СИСТЕМ В СФЕРЕ ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0184200000624000078;Услуги по сопровождению справочно-правовой системы «Гарант»;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0338200008224000002;Оказание услуг технической поддержки и сопровождения централизованной подсистемы «Управление льготным лекарственным обеспечением» Министерства здравоохранения Камчатского края;62.02.30.000: Услуги по технической поддержке информационных технологий;26.01.2024
№32413218816;"Информационное обслуживание программных продуктов ""1С:Бухгалтерия""";62.01.29.000: Оригиналы программного обеспечения прочие;26.01.2024
№0318200036024000001;Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0338200008224000001;Оказание услуг по сопровождению программного обеспечения  региональной медицинской информационно-аналитической системы «qMS», функционирующей в системе здравоохранения Камчатского края (Закупка товаров, работ и услуг в сфере информационно-коммуникационных технологий);"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий";26.01.2024
№0318300169224000002;Оказание услуг по сопровождению единого комплекса программных продуктов для учета ЛРС в 2024 году ЕКПП АХД аптека;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№0133200002524000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0141500000224000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс	;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0821200000524000006;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№32413217936;"""Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс""";62.03.1: Услуги по управлению компьютерным оборудованием;26.01.2024
№0301300247624000002;Приобретение неисключительного права на антивирусное программное обеспечение Антивирус Касперского для Администрации ГО г. Уфа РБ и ее структурных подразделений;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;17.01.2024
№0818500004424000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0318300469524000010;Услуги по техническому сопровождению программных продуктов «АС «Бюджет», АС «УРМ», ПО «Сервер обмена данными», а также дополнительных программных модулей и функциональных возможностей к этим программным продуктам;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0318200028524000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0165300017724000001;Оказание услуг в области информационных технологий с использованием экземпляров системы «КонсультантПлюс»;62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;19.01.2024
№0301000000224000005;Услуги, обеспечивающие эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№0187300004524000023;Оказание услуг по технической поддержке специализированного программного обеспечения  «ИСТОК-СМ»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;26.01.2024
№32413218653;Оказание услуг по организации бесперебойной работы интернет-ресурсов учреждения;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;26.01.2024
