Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0190200000324000607;Оказание услуг по сопровождению справочно-правовой системы Гарант;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413234786;Выполнение работ по настройке и сопровождению на компьютерах программных продуктов фирмы 1С;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0376300000124000005;Оказание услуг по техническому обслуживанию технических средств муниципальной автоматизированной системы централизованного оповещения;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№32413235425;Оказание услуг по сопровождению справочно-информационной системы для нужд филиала по Иркутской области;62.01.29.000: Оригиналы программного обеспечения прочие;31.01.2024
№0334100003924000011;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, в том числе специальной копии Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413234032;Поставка средств защиты информации, технических средств и программного обеспечения для нужд Уфимского университета;"62.09.20.120: Услуги по установке программного обеспечения; 26.20.16.110: Клавиатуры; 27.32.13.159: Кабели, провода и шнуры связи прочие, не включенные в другие группировки; 27.32.13.141: Кабели управления; 26.20.17.110: Мониторы, подключаемые к компьютеру";31.01.2024
№0173200001424000020;Оказание комплексных услуг по технической поддержке и системному сопровождению автоматизированной системы управления «Объединенная диспетчерская служба Департамента жилищно-коммунального хозяйства города Москвы» в 2024 году;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0818500003624000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413234015;Услуги по адаптации и сопровождению экземпляров справочной правовой системы Консультант Плюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с имеющимися и установленными у Заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0816500000624000399;На оказание услуг по обеспечению информационной безопасности при эксплуатации защищенной сети;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0862300000124000002;Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413235350;Оказание услуг по модификации и сопровождению модифицированных информационно-справочных систем «Техэксперт» (модификация имеющихся баз данных + дополнительный модуль);63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;31.01.2024
№0173200001424000012;Оказание комплексных услуг по технической поддержке и системному сопровождению подсистемы приема и обработки заявок автоматизированной системы управления «Объединенная диспетчерская служба Департамента жилищно-коммунального хозяйства города Москвы» в 2024 году;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413233961;Услуги по разработке личного кабинета резидента на сайте ОЭЗ «Алга»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;31.01.2024
№0816500000624000394;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники) (далее – ЭПС «Система ГАРАНТ»), путем предоставления текущих версий комплекта ЭПС «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413235310;Оказание услуг по технической поддержке и модификации порталов (ресурсов) проекта «Открытый регион»;"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки; 62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения";31.01.2024
№0190200000324000593;Оказание услуг по абонентскому сопровождению программного комплекса;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0340200003324000720;Оказание услуг по обслуживанию официального сайта Законодательного Собрания Кировской области;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;31.01.2024
№32413235272;Информационно-технологическое сопровождение программ системы «1С: Предприятие»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0361300028524000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0318200046624000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0864500000224000008;Оказание услуг по предоставлению защищенных каналов передачи данных;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0336100017024000001;Оказание услуг по настройке и доработке информационной системы для автоматизации приемной компании с функцией дистанционной подачи документов;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0162300024524000006;Услуги по адаптации и сопровождению экземпляров систем Консультант Плюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами систем Консультант Плюс;62.09.20.120: Услуги по установке программного обеспечения;22.01.2024
№0175200002424000003;оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0119300060024000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0848300048424000005;Услуги по адаптации и сопровождению экземпляров Систем Консультант Плюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость с установленными экземплярами в КСП Ленинского городского округа Московской области;62.02.3: Услуги по технической поддержке информационных технологий;22.01.2024
№32413235069;Выполнение работ по сопровождению программного продукта 1С ;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0887600002124000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;23.01.2024
№0311200052024000002;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0326100010324000003;Поставка технического средства реабилитации программного обеспечения экранного доступа для инвалидов, в том числе детей-инвалидов, с нарушениями функций одновременно слуха и зрения  для обеспечения в 2024 году;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№0815500000524000284;Оказание услуг по адаптации и сопровождению адаптированных экземпляров Справочно-Правовых Систем КонсультантПлюс в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№0891200000624000373;Оказание услуг по обслуживанию инфраструктуры Регионального сегмента Единой государственной информационной системы здравоохранения Забайкальского края в составе защищенной сети передачи данных и компонентов интеграционный шины (00000373-ЭА);62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0306300010224000007;Оказание услуг  по сопровождению Справочника, содержащего информацию о текущем состоянии законодательства Российской Федерации, путем предоставления текущих версий комплекта Справочника.;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0147200001224000001;"Оказание услуг по сопровождению и предоставлению неисключительных прав на использование ПК ""РСУ ГМП"" правообладатель Компания ""Кейсистемс""";"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.03.12.130: Услуги по сопровождению компьютерных систем";31.01.2024
№0158300007824000001;"Услуги по сопровождению программного комплекса ""САУ СОЗУ""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0118300000624000015;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0158300007824000002;"Оказание услуги по предоставлению доступа к сервису ""Электронная карта г. Таганрога""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№32413232690;лицензия кадровой справочной системы;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;31.01.2024
№0335500001024000001;Оказание услуг по предоставлению сертификата полной технической поддержки программного обеспечения TrueConf Server V на 100 онлайн пользователей для нужд Аппарата Правительства Калининградской области;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0352200013424000002;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс, установленных у заказчика (Реестровый номер 2024.008585);62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0152300048324000004;Оказание услуг по обновлению, сопровождению и информационному обслуживанию экземпляров справочно-правовой системы Консультант Плюс, ранее установленного у Заказчика;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0817200000324000559;Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого Крутихинский район Алтайского края;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;31.01.2024
№0332100022724000041;Оказание услуг по технической поддержке информационной системы ЦАМИ «Видар-ИнфоРад 3.0» (42Ц);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0817200000324000642;Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого Петропавловский район Алтайского края;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;31.01.2024
№0121600019024000011;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс (в т.ч. специальной копии системы), оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0318200018824000003;Услуги по сопровождению, технической поддержке и сервисному обслуживанию Программного комплекса «Катарсис» версия 8;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0159300029924000005;Оказание услуг по ежемесячному абонентскому обслуживанию программного продукта «Электронный паспорт МКД-Спасский муниципальный район;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0817200000324000643;Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого является г. Новоалтайск Алтайского края, а также по размещению информационных сообщений на интернет-ресурсе данного издания;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;31.01.2024
№0319300003424000005;"Оказание информационных услуг с использованием экземпляров Справочно-правовой системы ""Консультант Плюс""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0875600000524000001;"Услуги в сфере информационно-коммуникационных технологий техническая поддержка специализированного программного обеспечения СПО ""ИСТОК-СМ""";62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413222354;Оказание услуг по разработке и внедрению подсистемы «Бюджетирование» в конфигурации 1С:ERP Управление предприятием АО «ПЗЦМ»;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;29.01.2024
№0190300000424000084;Оказание услуг по адаптации и сопровождению экземпляров системы «Консультант Плюс»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№32413234702;Поставки, адаптации и сопровождения экземпляров систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0818500000824000500;"Оказание услуг по сопровождению, технической поддержке и сервисному обслуживанию Программного комплекса ""Катарсис: Соцзащита""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№1035200000324000008;поставка сертификата активации сервиса совместной технической поддержки средств защиты информации-программного обеспечения VipNet Client;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0173100008724000001;Оказание услуг по предоставлению доступа к сервисам технической поддержки  на программное обеспечение контроля (аудита) защищенности информации государственной информационной системы «Информационно-телекоммуникационная система «Контроль» Счетной палаты Российской Федерации»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413234675;"Оказание услуг по сопровождению программных продуктов Фирмы ""1С""";62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0818600005724000022;Оказание услуг по администрированию системы электронного документооборота «СИНКОПА-ДОКУМЕНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0173100008724000002;Оказание услуг по предоставлению доступа к сервисам технической поддержки на программное обеспечение системы защиты веб-приложений государственной информационной системы «Информационно-телекоммуникационная система «Контроль» Счетной палаты Российской Федерации»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0173100008724000003;Оказание услуг по предоставлению доступа к сервисам технической поддержки на программное обеспечение мониторинга событий информационной безопасности государственной информационной системы «Информационно-телекоммуникационная система «Контроль» Счетной палаты Российской Федерации»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0372200211124000001;Оказание услуг по предоставлению простой (неисключительной) лицензии  на право использования и техническому сопровождению информационно-аналитической системы «МедАналитика» для нужд СПб ГБУЗ «Городская больница 20» в 2024г.;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413215881;Оказание услуг по организации видеотрансляции процедур проведения государственной итоговой аттестации по образовательным программам среднего общего образования в Камчатском крае в 2024 году;63.11.21.000: Услуги по передаче потокового видео;26.01.2024
№0107100005124000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Верховном суде Республики Коми экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс) для нужд Верховного суда Республики Коми.;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№0368300000124000094;Оказание услуг по сопровождению и адаптации систем Консультант Плюс оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика системами Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413234588;Право заключения договора на оказание услуг информационных инфраструктурных сервисов и системно-технической поддержки (Управление) для нужд филиала АО «ЦИУС ЕЭС» - ЦИУС Центра;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0817200000324000641;Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого является Курьинский район Алтайского края, а также по размещению информационных сообщений на интернет-ресурсе данного издания;"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям; 73.11.11.000: Набор рекламных услуг полный";31.01.2024
№32413233925;Обслуживание правовой системы «Гарант»   ;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0111300000824000008;Оказание услуг по обновлению и актуализации справочно-информационной базы данных обеспечения градостроительной деятельности для нужд МКУ «Исполнительный комитет муниципального образования город Набережные Челны Республики Татарстан»;63.11.11.000: Услуги по обработке данных;31.01.2024
№0891200000624000370;Оказание услуг по предоставлению простого (неисключительного) права на получение обновлений и по сопровождению и технической поддержке эксплуатируемого программного продукта «Медицинская Информационная Система «Комплекс Программных Средств «Система Автоматизации Медико-Страхового Обслуживания Населения» «САМСОН» (00000443-ЭА);62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0845300010124000001;Поставка и оказание услуг по адаптации и сопровождению Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;24.01.2024
№0162300011124000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0318200005924000002;Услуга по информационном у обновлению и сопровождению программного продукта «Комплексная система автоматизации управления бюджетными учреждениями «Талисман - SQL» «УДАЛЁННО»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0323300035224000004;Оказание услуг по информационной поддержке прикладного программного обеспечения «СофтИнфо: Статистика», «СофтИнфо: Обработка реестров»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0349300007224000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0360200018524000002;оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413234397;Оказание услуг по техническому сопровождению системы визуализации данных Ситуационного центра ФГУП «Росморпорт» (ЦА 03-24);62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0372200047724000038;Оказание услуг по сопровождению информационной системы «ИНФОДЕНТ» в 2024 году.;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0174500001124000156;Оказание услуг по техническому сопровождению программного комплекса «Региональная контрактная система»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413234365;Оказание услуги по администрированию сайтов театра;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;31.01.2024
№0179100004924000003;Приобретение прикладного и системного программного обеспечения;62.01.29.000: Оригиналы программного обеспечения прочие;23.01.2024
№0818500002024000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""Парус-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
№0128200000124000102;Оказание услуг по проведению ежедневного аналитического исследования размещенной информации о социально-экономическом развитии Владимирской области в средствах массовой информации для нужд Администрации Губернатора Владимирской области;63.11.11.000: Услуги по обработке данных;26.01.2024
№0222200000124000003;Техническая поддержка средств криптографической защиты информации;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0358300079424000036;Оказание услуг по предоставлению защищенного виртуального центра обработки данных и организации доступа (laas);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;24.01.2024
№0375300076924000008;"Оказание услуг по сопровождению ранее установленного электронного периодического справочника ""Система ГАРАНТ""";62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№32413234160;Оказание услуг на продление неисключительных (пользовательских) прав на базы данных справочной системы «Госфинансы», справочной системы «Охрана труда», справочной системы «Экономика ЛПУ»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;31.01.2024
№0160300006524000002;Оказание услуг по обслуживанию единого комплекса Электронного периодического справочника;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0172300002924000002;"Услуги по сопровождению ЭПС ""Система Гарант-Аналитик+""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;23.01.2024
№0328300105824000003;"Предоставление на передачу неисключительных прав использования баз данных система госфинансы версии плюс; система юрист для бюджетного учреждения; система госзаказ версия премиальная; система культура версия премиальная; система умкд версия вип; система охрана труда для бюджетных учреждений";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0221100003024000006;Оказание услуг по предоставлению сертификата технической поддержки системы управления средой виртуализации ROSA Virtualization для нужд ТФОМС СК;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413233148;"Оказание услуг по адаптации и сопровождению систем ""Консультант Плюс""";62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0302300088824000008;"Оказание услуг по сопровождению МИС ""Байкал""";62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413232040;Заключение сублицензионного договора на ежегодное продление антивируса Kaspersky Total Security для бизнеса Russian Edition. 250-499 Node 1 year Renewal License на 2024 год;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0321300123824000005;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс),;62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
