Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413226321;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0744200000224000284;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ОКУ ЦППМСП экземплярами систем КонсультантПлюс (в том числе специальной копией системы КонсультантПлюс) для нужд ОКУ ЦППМСП;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0318300406424000002;Оказание услуг по модернизации программной инфраструктуры автоматизации медицинской и административной деятельности при осуществлении лечебно-диагностических процессов;62.02.3: Услуги по технической поддержке информационных технологий;30.01.2024
№0891200000624000321;"Предоставление простого (неисключительного) права на получение обновлений, эксплуатируемого программного продукта ""Медицинская информационная система ""Комплекс программных средств ""Система автоматизации медико-страхового обслуживания населения"" ""Самсон"" (00000369-ЭА)";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0160300033224000001;"Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в администрации Ленинского района муниципального образования ""Город Саратов"" экземплярами систем.";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№32413227940;Право заключения договора на оказание услуг по сопровождению автоматизированной системы внутреннего аудита, контроля и управления рисками (АС ВАКиУР).;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;30.01.2024
№0372500001924000009;Оказание услуг по сопровождению СПС «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0153300017124000001;Услуги по обновлению справочно-информационных баз данных КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0362300359124000001;"оказание услуг по информационно-технологическому сопровождению, адаптации и модификации программных продуктов «1С» (ИТС) Государственного бюджетного учреждения Свердловской области ""Центр развития туризма Свердловской области""";62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413227366;Выполнение работы по изготовлению и размещению в открытом доступе в информационно-телекоммуникационной сети «Интернет» материалов о деятельности Губернатора и Правительства Астраханской области, исполнительных органов Астраханской области, а также о социально-экономическом и общественно-политическом развитии Астраханской области;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;30.01.2024
№0372200189724000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в СПб ГБУЗ «Поликлиника № 28» экземплярами Систем КонсультантПлюс (в том числе специальной копии Системы) в 2024 году.;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0179200001924000017;Оказание услуг по развитию и сопровождению автоматизированной информационной системы «Логистика» Карачаево-Черкесской Республики.;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;30.01.2024
№0821600002224000002;Услуги по информационно техническому сопровождению муниципальной геоинформационной системы Шпаковского муниципального округа Ставропольского края на базе прикладного программного обеспечения UrbaniCS и модулей расчета арендной платы по договору аренды земельного участка и договору аренды имущества;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0306300045724000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс:  (в том числе установленной на электронном устройстве заказчика специальной копией Системы КонсультантПлюс, дающей возможность в любое время пользоваться минимально необходимым объёмом правовой информации) для нужд Финансового управления Администрации Пряжинского национального муниципального района;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0122200001024000004;"Оказание информационных услуг с использованием экземпляров справочно-правовой системы ""Консультант Плюс""";62.02.3: Услуги по технической поддержке информационных технологий;22.01.2024
№0320300123424000003;Оказание услуг по обновлению системы резервного копирования и аварийного восстановления данных;"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий";29.01.2024
№0372200213424000008;Оказание услуг по предоставлению права использования (на условиях простой неисключительной лицензии) базы данных: электронная система «Госфинансы Плюс»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;30.01.2024
№0373200077924000001;"Оказание комплексной услуги по техническому обслуживанию информационного портала ГБУ г. Москвы ""ГЦПиКР"" Центрразвития.москва   https://центрразвития.москва";62.02.10.000: Услуги консультативные по компьютерному оборудованию;10.01.2024
№0162300034224000002;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0238100001324000001;Услуги по предоставлению неисключительных прав на антивирусное программное обеспечение (продление лицензии);62.01.29.000: Оригиналы программного обеспечения прочие;22.01.2024
№0366200035624000269;оказание услуги по подготовке и размещению информационных материалов о деятельности Общественной палаты Тульской области в общественно-политических периодических печатных изданиях (газетах), распространяемых на территории Тульской области в 2024 году;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;30.01.2024
№0358200007024000003;Оказание услуг по сопровождению и технической поддержке программного продукта «Медицинская Информационная Система «Комплекс Программных Средств «Система Автоматизации Медико-Страхового Обслуживания Населения» «САМСОН» в 2024 году;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0372200251524000005;"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в СПБ ГБУЗ ""САНАТОРИЙ ""САЛЮТ"" экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы)";62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413227282;Выполнение работы по изготовлению и размещению в открытом доступе в информационно-телекоммуникационной сети «Интернет» материалов о деятельности Губернатора и Правительства Астраханской области, исполнительных органов Астраханской области, а также о социально-экономическом и общественно-политическом развитии Астраханской области.;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;30.01.2024
№0372200161224000005;Оказание услуг по передаче на условиях простой неисключительной лицензии прав на использование лицензионного программного обеспечения;62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0806500000224000022;Оказание услуг по предоставлению сертификата технической поддержки сети ViPNet Custom № 12560 в сфере ИКТ в соответствии с НПА;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0346200004124000013;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, установленных у заказчика;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;30.01.2024
№0121500000324000003;Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0325300088324000003;Оказание услуг по информационно-консультационному обслуживанию программного продукта и информационно-технологическому сопровождению 1С Бюджет;"62.02.10.000: Услуги консультативные по компьютерному оборудованию; 62.03.12.130: Услуги по сопровождению компьютерных систем";30.01.2024
№0121600013924000010;На оказание услуг по сопровождению системы автоматизации делопроизводства и электронного документооборота (СЭД) «Дело»;62.02.3: Услуги по технической поддержке информационных технологий;30.01.2024
№32413227681;Оказание услуг по информационно-технологическому сопровождению сайта ;62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0372200264024000002;Оказание услуг по сопровождению медицинской информационной системы КПС «Виста-МЕД» для нужд СПб ГБУЗ «Противотуберкулезный диспансер №12» в 2024 году;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0372200068224000003;Оказание информационных услуг с использованием экземпляров справочно-правовой системы «Консультант Плюс»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№0301200034624000004;"Оказание услуг по сопровождению ранее установленного Электронного периодического справочника ""Система ""ГАРАНТ"""" (информационного продукта вычислительной техники), содержащей информацию о текущем состоянии законодательства Российской Федерации, путем предоставления в электронном виде по каналам связи посредством телекоммуникационной сети Интернет формируемых текущих версий специальных информационных массивов Электронного периодического справочника ""Система ""ГАРАНТ"" на 2024 год";62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№32413227605;"Услуги по сопровождению программ для ЭВМ ""1С:Предприятие 8""";62.02.30: Услуги по технической поддержке информационных технологий;30.01.2024
№0321300104624000003;Оказание консультативных услуг и технической поддержки пользователей комплексной системы автоматизации медицинского учреждения (КСАМУ);62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0132600009024000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0309300071424000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в Администрации Ромодановского муниципального района Республики Мордовия экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№32413227586;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс в феврале - декабре 2024 г.;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0103200007924000001;Услуги по информационному сопровождению и обслуживанию справочно-правовой системы Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0372200005124000001;"Услуги по предоставлению неисключительных прав использования электронных систем ""Система Кадры"", ""Госзаказ"" и ""Система Госфинансы""";63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;19.01.2024
№0301000000224000055;Оказание услуги по передаче лицензии, предоставляющей неисключительное (пользовательское) право на использование программного обеспечения Медицинской информационной системы «qMS»  для лицензированного подключения лабораторного анализатора;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413195026;"Запрос предложений в электронной форме №24-1 на право заключения договора на приобретение права на использование программы для ЭВМ ""ГРАНД-Смета"" и БД для нужд АО ""Россети Сибирь Тываэнерго""";62.01.29: Оригиналы программного обеспечения прочие;19.01.2024
№0358300415424000001;Оказание услуг по предоставлению защищенного виртуального центра обработки данных и организаций доступа (IaaS);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0154200001624000001;Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0318300272524000015;Оказание услуг по обеспечению продления сервисных сертификатов производителей на имеющиеся средства криптографической защиты и системы обнаружения вторжений;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0146100004224000002;Оказание услуг по сопровождению лицензионного программного обеспечения системы «1С: Предприятие» для Управления Судебного департамента в Липецкой области;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0131300000624000025;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;30.01.2024
№0172300002024000001;Услуги по поставке, адаптации и сопровождению экземпляров Систем Консультант Плюс в 2024 году;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0177200000924000090;"Оказание услуги по техническому сопровождению специализированного программного средства ""Учет бюджетных средств в форме субсидий""";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0339300180424000002;"Оказание услуг по информационному сопровождению бухгалтерского программного продукта ""Парус-Бюджет 7.xx""";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№32413227039;Выполнение работы по изготовлению и размещению в открытом доступе в информационно-телекоммуникационной сети «Интернет» материалов о деятельности Губернатора и Правительства Астраханской области, исполнительных органов Астраханской области, а также о социально-экономическом и общественно-политическом развитии Астраханской области.;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;30.01.2024
№0169300036024000001;Оказание услуг по сопровождению автоматизированных систем «АЦК-Финансы» и «АЦК-Планирование»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0318300272524000014;Оказание услуг по передаче сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0322200005824000005;Оказание услуг по сопровождению программного обеспечения 1С;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413227400;Оказание услуг по технологической поддержке информационно-аналитической системы 1С, подсистем: бухгалтерский учет, кадровый учет, расчет заработной платы, учет аптечных товаров, медицина, диетическое питание, инвентаризация имущества;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;30.01.2024
№0111200000924000024;Право заключения контракта на оказание услуг по предоставлению доступа по сети Интернет к экземплярам справочно-правовых систем (СПС) «Техэксперт» - «ТЕХЭКСПЕРТ: Базовые нормативные документы. Лаборатория» для нужд ГБУ «Республиканский центр независимой экспертизы и мониторинга потребительского рынка»;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413226537;Услуги предпроектного обследования с подготовкой отчета по техническому состоянию информационных систем для внедрения подсистемы «Приемная комиссия» Уфимского университета;62.02.20.120: Услуги по обследованию и экспертизе компьютерных систем;30.01.2024
№0158200000324000001;Сопровождение функционирования геоинформационной системы мониторинга земель сельскохозяйственного назначения;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№0318200070624000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8» на 1 полугодие 2024 года;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0119300038024000001;оказание информационных услуг с использованием экземпляров специальных выпусков Системы КонсультантПлюс  (услуги по адаптации и сопровождению экземпляров Системы КонсультантПлюс) принадлежащих администрации Ирбейского района Красноярского края;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0133200004024000004;Оказание услуг по размещению информационных материалов о деятельности Ивановской областной Думы на сайте Исполнителя в информационно-телекоммуникационной сети Интернет;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0322200027424000007;"Оказание услуг по сопровождению программного обеспечения ""1С: Зарплата и кадры бюджетного учреждения 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0815500000524000160;Услуга по технической поддержке ГИС GeoWorks;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0350300036924000002;Оказание услуг по информационному сопровождению, обновлению и дополнению справочно-правовых систем «КонсультантПлюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0159300009024000003;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);63.99.20.000: Сборники фактов/информации оригинальные;22.01.2024
№32413227285;Поставка неисключительных прав на использование ранее установленного программного обеспечения (продление лицензий сроком на 1 год) для нужд ГУП «Моссоцгарантия» в 2024 году;62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0358300041024000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс.;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;30.01.2024
№0333200015824000002;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0302300048724000054;Оказание информационных услуг по освещению деятельности ОМСУ г.Улан-Удэ в сетевом издании, специализирующемся на выпуске политической, экономической, общественной информации;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;30.01.2024
№0318200088924000001;Услуга по передаче Сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0342300000124000051;Оказание услуги  по предоставлению почтового сервиса по типу «почта-как-сервис» с предварительной миграцией данных с локального почтового сервера CommunigatePRO;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;30.01.2024
№0217100000824000001;"Услуги по технической поддержке информационных технологий - услуги по сопровождению и технической поддержке системы ""Регрессные иски"" Территориального фонда обязательного медицинского страхования Алтайского края";62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0301300504924000001;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем Консультант Плюс;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0338300035324000002;на оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники) (далее — ЭПС «Система ГАРАНТ»), содержащего информацию о текущем состоянии законодательства Российской Федерации, путем предоставления формируемых Исполнителем экземпляров текущих версий специальных информационных массивов (далее — СИМ) ЭПС «Система ГАРАНТ»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№0328200025524000002;Оказание услуг по сопровождению единой автоматизированной системы для предоставления государственных и муниципальных услуг заявителям в многофункциональных центрах Владимирской области;62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№32413226362;Оказание услуг системного и технического администрирования (обслуживание оргтехники, компьютеров и программного обеспечения);62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;30.01.2024
№0380200000124000036;Оказание услуг по сопровождению, технической поддержке и сервисному обслуживанию программных продуктов: Автоматизированная система «Катарсис», версия 8;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0225100000224000001;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения;62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№0348300139624000016;Оказание услуг по обслуживанию системного и прикладного программного обеспечения;62.02.3: Услуги по технической поддержке информационных технологий;29.01.2024
№0815500000524000181;Оказание услуг по продлению неисключительных прав на лицензионное программное обеспечение Kaspersky Endpoint Security для бизнеса – Стандартный;62.01.29.000: Оригиналы программного обеспечения прочие;19.01.2024
№0324300051924000002;оказание услуг по консультационному сопровождению программных продуктов «1С: Предприятие» ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№0141300001324000001;Оказание информационных услуг по размещению официальных документов, информационных материалов, нормативно-правовых актов органов местного самоуправления  в Буйском муниципальном районе  Костромской области в периодическом печатном издании средств массовой информации в 2024 году;63.99.1: Услуги информационные прочие, не включенные в другие группировки;19.01.2024
№0332200065724000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуги с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0372200289924000002;Оказание услуг по подключению и сопровождению сегмента Единой системы электронного документооборота и делопроизводства исполнительных органов государственной власти Санкт-Петербурга;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413226673;Абонентское информационно-техническое сопровождение (1С);62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0360200010424000001;Услуги по абонентскому обслуживанию ранее используемого электронного периодического справочника Система Гарант;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№32413227077;оказание услуг по предоставлению Абонемента на предоставление удалённого доступа по сети Интернет к экземплярам профессиональных справочных систем «Техэксперт» на порталах профессиональных справочных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
