Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413175476;"Оказание услуг по сопровождению модуля ""Закупки. Дополнение к 1С: БГУ 8""";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413175471;Техническое сопровождение ГИС «Геоинформационная система «Земля» Архангельской области»;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;15.01.2024
№32413174747;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Образование»)» и базы данных «Справочно-правовая система «ЮРИС-образование» (простая неисключительная лицензия);63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;15.01.2024
№32413175396;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413175393;Оказание услуг на предоставление права использования платформы на условиях простой (неисключительной) лицензии;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413175390;Выполнение работ (оказание услуг) по централизации систем бухгалтерского и кадрового учета (07/223-ЭМ-24);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№32413174498;Разработка подсистемы «Личный кабинет студента» электронной информационно-образовательной системы на базе программного обеспечения «1С: Университет»;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413175212;Оказание услуги к доступу  экземплярам систем нормативно-технической документации для обеспечения и оптимизации работы лаборатории, включенных в программный комплекс Техэксперт «Базовые нормативные документы»;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;15.01.2024
№32413175134;"Право заключения договора на оказание услуг на обновление комплекта баз данных серии ""Кодекс/Техэксперт""";62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413174432;Оказание услуг по консультированию и технической поддержке системы электронного документооборота «EOS for SharePoint»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;15.01.2024
№32413174418;Оказание услуг по техническому сопровождению сайта.;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;15.01.2024
№32413174976;Поставка , адаптация и сопровождение  экземпляров систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174917;Оказание услуг по абонентскому обслуживанию ранее установленного навигационного оборудования системы спутникового мониторинга с применением технологий ГЛОНАСС для нужд Центрального филиала ФГБУ «Главрыбвод»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№32413174154;Мониторинг работоспособности оборудования и его составных элементов («Оборудование»), в части контроля работоспособности физического Оборудования, на котором размещены программные средства информационных системи прикладного программного обеспечения систем хранения данных ЦОД Федеральной службы по контролю за алкогольным и табачным рынками;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413171896;Оказание услуг технической поддержки  информационной инфраструктуры;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413173382;Продление неисключительных прав использования базы данных электронной системы «Госфинансы»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№32413174045;Оказание услуг с использованием экземпляра Системы Консультант Плюс, принадлежащей Заказчику. Обновление не реже одного раза в неделю;63.99.1: Услуги информационные прочие, не включенные в другие группировки;15.01.2024
№32413174699;Оказание услуг по адаптации  и сопровождению экземпляров систем Консультант Плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413174212;Оказание услуг на абонементное информационно-технологическое сопровождение программного продукта системы «1С:Предпрпятне 8. Клиентская лицензия на 5 рабочих мест (USB)»;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174256;Оказание услуг по комплексному информационно-технологическому сопровождению программных продуктов семейства «1С: ПРЕДПРИЯТИЕ»;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174562;Услуги по сопровождению электронного периодического справочника «Система ГАРАНТ»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413174531;Услуги по методической и консультационной поддержке программных продуктов 1С;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413174505;Оказание услуг по технической поддержке и информационному сопровождению официального сайта ООО «Жилкомсервис №2 Пушкинского района» в сети интернет по адресу http://жкс2пушкин.рф;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;15.01.2024
№32413174502;Оказание услуг по обслуживанию системы мониторинга (подразделение «Транспортирование твердых коммунальных отходов»);62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174469;"Исполнитель оказывает Пользователю услуги по модификации и сопровождению модифицированных БД, именуемые в дальнейшем «Услуги по сопровождению БД», согласно Спецификации услуг (Приложении 1 к настоящему Договору).Услуги заключаются в:- модификации БД, то есть внесении изменений в БД в связи с выпуском новых версий программ для ЭВМ и актуализации БД путем установки обновленных БД или пакетов обновления к ним;-  установке модифицированных БД на технических ресурсах Пользователя, поддержании работоспособности БД;- оказании услуг по информационному, консультационному и техническому сопровождению БД Пользователя специализированной службой поддержки Исполнителя.";63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;15.01.2024
№32413173045;СПС Консультант Бюджетные органи зации смарт комплект Оптимальный;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174417;услуги по поддержке Портала государственных органов Костромской области;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413174383;Сопровождение 1С:БГУ;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174378;Право заключения договора оказания услуг по техническому обслуживанию программы для ЭВМ «Мониторинг динамики изменения режимных параметров в ЕЭС России по данным системы мониторинга переходных режимов» (ВДП) (3539229);62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413174168;Оказание услуг по технической поддержки системы ИСУЖДП, обеспечивающую интеграцию с Этран;62.02: Услуги консультативные, связанные с компьютерной техникой;15.01.2024
№32413172979;"Оказание услуг по сопровождению программных продуктов ""Заработная плата"" и ""Кадровый учет"" ФБУЗ ""Центр гигиены и эпидемиологии в Камчатском крае""";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413173035;Оказание услуг по сопровождению справочника Система Гарант;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413173034;оказание услуг по консультационно-техническому сопровождению прикладных программ ;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";15.01.2024
№32413173595;"Поставка, адаптация и сопровождение СПС ""КонсультантПлюс""";62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;15.01.2024
№32413173924;Услуги по сопровождению установленного электронного периодического справочника “ГАРАНТ” ;63.99.20.000: Сборники фактов/информации оригинальные;15.01.2024
№32413173870;Оказание услуг по консультационному и информационно-техническому сопровождению бухгалтерского, налогового, статистического учета, учета кадров, расчета заработной платы и стипендии с учетом специфики и внутренней аналитики федерального государственного бюджетного образовательного учреждения с применением программ «1С: Предприятие 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413173410;"Сопровождение комплексной автоматизированной музейной информационной системы ""КАМИС 5""для субъектов малого и среднего предпринимательства";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413173614;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс для нужд филиала ППК «Роскадастр»  по Республике Башкортостан, участие в котором могут принять только субъекты малого и среднего предпринимательства;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413173504;Услуги по обследованию опытной площадки ;62.02.2: Услуги консультативные по вопросам систем и программному обеспечению;15.01.2024
№32413172839;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс.;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;14.01.2024
№32413172833;услуги по адаптации и сопровождению экземпляров Систем;62.02.2: Услуги консультативные по вопросам систем и программному обеспечению;14.01.2024
№32413172768;Услуги по сопровождению экземпляров системы Консультант плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;13.01.2024
№32413172629;Оказание услуг по информационно технологическому сопровождению программного продукта фирмы 1С;62.03.12.130: Услуги по сопровождению компьютерных систем;13.01.2024
№32413172600;Техническая поддержка и сопровождение программного продукта Р7-Офис;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413171326;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413172564;Услуги  по предоставлению информационных материалов (изготовлению и размещению видеосюжетов);63.91.12.000: Услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации;12.01.2024
№32413172571;Запрос котировок в электронной форме, участниками которого являются только субъекты малого и среднего предпринимательства, на оказание услуг по адаптации и сопровождению экземпляра Систем КонсультантПлюс для нужд акционерного общества «Лизинговая компания по развитию малого и среднего предпринимательства»;62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413172537;"Информационное обслуживание программных продуктов ""1С: Предприятие 8"" конфигурации ""Бухгалтерия государственного учреждения "", "" Зарплата и кадры государственного учреждения """;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413172527;Оказание услуг по внедрению и сопровождению программных продуктов 1 С;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413172526;Оказание услуг на сопровождение и оказание информационных услуг с использованием экземпляров Систем Консультант Плюс ;62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413170295;"Оказание услуг по информационным услугам с использованием экземпляров систем ""Консультант Плюс""";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413172068;Техническая поддержка системы мониторинга СКИТ;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413172456;Оказание услуг по информационно-технической поддержке и сопровождению информационной системы «МПТС» для нужд ООО «ИТ Плюс»;62.02.3: Услуги по технической поддержке информационных технологий;12.01.2024
№32413172434;Оказание услуг по информационному и техническому обслуживанию сайтов;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;12.01.2024
№32413170155;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413171446;Оказание услуг по предоставлению доступа к системе электронного документооборота «Дело» с подключением к системе межведомственного электронного документооборота органов государственной власти Республики Башкортостан;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413172319;"Поставка информационно-справочной системы ""КонсультантПлюс"" для нужд ГБУ ЛО ""СББЖ Кингисеппского и Сланцевского районов""";63.99: Услуги информационные прочие, не включенные в другие группировки;12.01.2024
№32413172029;"Оказание услуг по сопровождению информационно-справочной системы ""Техэксперт""";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413172290;Оказание услуг по сопровождению специального программного обеспечения для ЭВМ «Бюджет - СМАРТ Про», эксплуатируемого в Смоленской области для организации исполнения бюджетного процесса, с предоставлением неисключительных прав на использование специального программного обеспечения;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413172289;Сопровождение КИС Аэропорт в составе  программных модулей: «Наземное и аэропортовое обслуживание ВС», «Технологический график. Управление суточным планом полетов» и «Информирование пассажиров»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413172272;Оказание услуг по предоставлению подписки на комплексную интегрированную платформу Jaypeedigital для нужд библиотеки ФГБОУ ВО Казанский ГМУ Минздрава России;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;12.01.2024
№32413171828;Оказание услуг по предоставлению права использования Программы для ЭВМ под наименованием «Сервис по работе с должниками»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413172214;Оказание услуг по размещению и сопровождению виртуальных серверов ООО «Жилкомсервис №2 Пушкинского района» в 2024 г.;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;12.01.2024
№32413171783;"Оказание услуг по ежемесячному сопровождению программных продуктов фирмы ""1С""";62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;12.01.2024
№32413172171;Информационное сопровождение справочно-правовой-системы Консультант;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413172131;"оказание услуг по сопровождению региональной государственной информационной системы ""единая  система учетных процессов получателей средств областного бюджета""";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413171627;Поставка, адаптация и сопровождение экземпляров систем Консультант плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413171531;Выполнение работ по достройке интеллектуальной системы учёта ПАО «Самараэнерго» бытовых потребителей многоквартирных жилых домов Самарской области, включающие в себя  предварительное обследование, строительно-монтажные и пусконаладочные работы;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;12.01.2024
№32413171967;Оказание консультационных услуг по сопровождению и модификации (изменению программного кода) единого комплекса программных средств;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413171882;Оказание услуг по сопровождению адаптированных программ для ЭВМ системы «1С: Предприятие» и баз данных, включая базы данных 1С: Комплект поддержки для государственных учреждений Проф ;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413171878;"Оказание услуг по адаптации и сопровождению экземпляров Системы ""КонсультантПлюс"" для нужд филиала по Нижегородской области";62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413171873;"Оказание услуг по предоставлению права использования ПК ""Гранд-Смета"" для нужд филиала по Тульской области";62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413171786;Оказание услуг по информационно-технологическому сопровождению программного продукта ПЭВМ;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413171773;Оказания услуг по сопровождению и обслуживанию Программного Продукта «Парус-Бюджет»;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413170249;"Оказание услуги подключения, адаптации и сопровождения справочно-правовой системы ""Гарант"" ";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413170896;Оказание услуг по консультационно-информационному обслуживанию программного обеспечения;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;12.01.2024
№32413171691;Закупка у единственного поставщика (исполнителя, подрядчика);62.02.10.000: Услуги консультативные по компьютерному оборудованию;12.01.2024
№32413170119;Оказание услуг по предоставлению доступа по сети Интернет к экземплярам ин-формационно-справочных систем;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;12.01.2024
№32413171654;Информационные услуги с использованием экземпляров Систем КонсультантПлюс.;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413171179;Услуги по технической поддержке программного продукта ПСЭК (пролонгация Договора от 31.01.2022 № ОРЦ/22-012;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;12.01.2024
№32413169998;Услуги по информационному обслуживанию программных продуктов «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры государственного учреждения 8» для нужд Иркутского НИИСХ - филиала СФНЦА РАН.;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413170733;Оказание услуг адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией СистемыКонсультантПлюс);62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413171546;Оказание информационных услуг (адаптация и сопровождение) ранее установленного экземпляра систем «КонсультантПлюс» для нужд ГАУ «Институт Генплана Москвы»;63.11.11.000: Услуги по обработке данных;12.01.2024
№32413171126;Услуги по сопровождению АИИС КУЭ (Энфорс, Пирамида, Альфа-центр, Инфопро) для нужд ООО «ОРЦ» (пролонгация договора №ОРЦ/22-738//ОРЦ/23-003 от 09.01.2023);62.02.1: Услуги консультативные по компьютерному оборудованию;12.01.2024
№32413171499;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем Консультант Плюс (в том числе специальной копией Системы Консультант Плюс);62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413169584;Услуги по сопровождению автоматизированных информационных систем  для нужд  ФБУЗ «Центр гигиены и эпидемиологии в Иркутской области».;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413171482;Оказание услуг по предоставлению на условиях простой (неисключительной) лицензии права на использование программы NormaCS;62.01.29: Оригиналы программного обеспечения прочие;12.01.2024
№32413171475;Техническое и информационное сопровождение комплекса программного обеспечения «А0» для Windows;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413170676;Услуги по сопровождению (обновлению) Автоматизированной информационной системы «Социально-гигиенический мониторинг».;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413170658;Выполнение работ по обслуживанию комплекса вычислительной техники;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;12.01.2024
№32413169888;услуги по сопровождению программы 1С;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;12.01.2024
№32413170603;Оказание услуг справочной системы правовой системы;62.09.20.120: Услуги по установке программного обеспечения;12.01.2024
№32413170570;"Оказание услуг по информационному обслуживанию и обновлению ранее установленной справочно-правовой системы ""Консультант Плюс""";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413171331;Оказание информационных услуг по выявлению информации, содержащей сведения о Государственном Эрмитаже, распространяемой в средствах массовой информации и социальных медиа;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413171291;Оказание услуг по сопровождению экземпляров систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413170483;Предоставление неисключительных прав на программное обеспечение;62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413171020;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413170615;"Услуги по сопровождению на компьютерах заказчика программных продуктов семейства ""1С""";62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413170616;Оказание услуг по информационному обслуживанию программных продуктов «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры государственного учреждения 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413170962;услуги по размещению ресурсов на виртуальном сервере (VPS) ;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;12.01.2024
№32413170925;Поставка ноутбуков;62.09.20.110: Услуги по восстановлению данных и поддержке повседневных компьютеризованных работ в случае чрезвычайного происшествия, такого как пожар или наводнение;12.01.2024
№32413170668;Выполнение работ по развитию СПО Федеральной государственной информационной системы «Аргус-Фито» (версия 1) в части оптимизации процесса оказания государственной услуги по выдаче карантинных сертификатов и интеграции с информационной системой «Одно окно» в рамках развития сервиса «Запрос фитосанитарного сертификата»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;12.01.2024
№32413169926;Оказание услуг по разработке и выполнение работ по текущей эксплуатации объектов автоматизации автоматизированной информационной системы «Административная панель средств массовой информации Республики Башкортостан»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413170635;Оказание услуг по адаптации и сопровождению справочно-правовой системы «КонсультантПлюс»;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413170634;Оказание услуг по сопровождению адаптированного(ных) экземпляра(ов) систем(ы);62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169871;Обслуживание программного продукта «1С: Бухгалтерия»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413168768;"Приобретение неисключительных прав использования антивирусной системы ""Антивирус Касперского""";62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413170392;Услуги адаптации и сопровождения экземпляра(ов) Систем(ы) КонсультантПлюс ;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413170387;Оказание услуг по абонентскому обслуживанию и информационно-технологическому сопровождению установленных программных продуктов «1С:Бухгалтерия государственного учреждения 8 ПРОФ» и «1С:Зарплата и кадры государственного учреждения 8»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№0352300172924000002;Программная система управления доступом к информационным ресурсам;62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413169577;Оказание услуг по сопровождению электронного периодического справочника «Система ГАРАНТ» согласно техническому заданию. ;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
