sentiment,Классификация по ОКПД2_x,Наименование закупки_x,Реестровый номер закупки,Закупки по,Дата размещения
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, (№ СФ 66 -23) по выбору организации на право заключения договора на оказание услуг по адаптации и сопровождению  справочно-правовых систем КонсультантПлюс для нужд  ФГУП «НИКИМП» ",№32312676096,223-ФЗ,15.08.2023
Не подходит,62.03: Услуги по управлению компьютерным оборудованием,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, на оказание услуг по адаптации и сопровождению экземпляров справочной правовой системы",№32312643758,223-ФЗ,03.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, на оказание услуг по технической поддержке программного обеспечения",№32312647059,223-ФЗ,04.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Запрос котировок на оказание услуг по сервисному обслуживанию пакета программ Кабинет Переливания крови для нужд ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ» в 2023-2024 гг.,№0373200001323001084,44-ФЗ,13.09.2023
Не подходит,62.02.30: Услуги по технической поддержке информационных технологий,Запрос предложений в электронной форме на оказание услуг по технической поддержке и сопровождению модифицированного модуля «Зонтичное поручительство» на базе программы для ЭВМ «АИС НГС»,№32312804042,223-ФЗ,27.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Запрос предложений в электронной форме на право заключения договора оказания услуг по информационно-технологическому сопровождению программных продуктов системы «1С: Предприятие» на 2024 год,№32312752962,223-ФЗ,11.09.2023
Подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"зз-29516 - 2023 Оказание услуг по техническому сопровождению Регионального сегмента Единой государственной информационной системы в сфере здравоохранения Удмуртской Республики в составе компонентов ЕЦП.МИС, ЕЦП.ЛИС, ЦАМИ",№0813500000123013901,44-ФЗ,30.08.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,"зз-31079 - 2023 Оказание услуг по поставке и подготовке к опытно-рабочей эксплуатации (установке, модификации, переносу данных, тестированию, проведению силами сотрудников Заказчика выборочной опытной эксплуатации и переносу остатков) программных продуктов: ""1С: Бухгалтерия государственного учреждения, ред. 2.0"", ""Конфигурация 1С-КАМИН:Зарплата для бюджетных учреждений. Версия 5.5"" и ""1С: Комбинат планового питания», версия 2.0"".",№0813500000123014075,44-ФЗ,01.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,ЗК-0205/23 Поставка сертификатов активации,№0167300000523000754,44-ФЗ,27.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,ЗК-0208/23 Поставка сертификата активации технической поддержки средства защиты среды виртуализации от несанкционированного доступа,№0167300000523000761,44-ФЗ,29.09.2023
Подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"ЗК-№-15121/23 «Оказание услуг по сопровождению государственной информационной системы в сфере здравоохранения Красноярского края, в части подсистемы «Единая информационная система управления льготным лекарственным обеспечением населения Красноярского края»»",№0119200000123014036,44-ФЗ,21.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,ИКТ Приобретение неисключительных прав (лицензии) на использование антивирусного программного обеспечения,№0834500001423000002,44-ФЗ,23.08.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Информационно-вычислительные услуги по сопровождению бухгалтерских программ,№0121200000123000018,44-ФЗ,31.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Информационное и техническое сопровождение по вопросам эксплуатации модулей мониторинга, установленных на подвижные объекты и программного обеспечения системы спутникового мониторинга «Скаут» ",№32312787269,223-ФЗ,22.09.2023
Не подходит,62.09: Услуги в области информационных технологий прочие и компьютерные услуги,"Информационное обслуживание программно-аппаратного комплекса ""AutoSat""",№32312807292,223-ФЗ,28.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Информационное сопровождение экземпляров Справочной системы «Консультант Плюс», обеспечивающего совместимость информационных услуг с установленными в Акционерное общество «Сахатранснефтегаз» экземплярами систем «Консультант Плюс»",№32312733945,223-ФЗ,05.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"информационно-консультационные услуги по сопровождению программного обеспечения ""Парус-Бюджет"" (в рамках ИКТ)",№0169100000823000063,44-ФЗ,21.09.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,Информационно-консультационные услуги по сопровождению программных продуктов фирмы «1С»,№32312720815,223-ФЗ,30.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Информационно-техническое обслуживание автоматизированной системы управления гостиничным комплексом объектов ГТЦ ПАО «Газпром» для нужд ООО ""Свод Интернешнл"" Д.У.",№32312677630,223-ФЗ,16.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Информационные услуги на основе систем ""Консультант Плюс""",№0318100058623000353,44-ФЗ,21.09.2023
Подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Информационные услуги по модификации программного обеспечения (сайт),№32312697159,223-ФЗ,23.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Информационные услуги по предоставлению онлайн-доступа к системе нормативно-технической документации,№0158100006223000033,44-ФЗ,02.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Информационные услуги по сопровождению и обновлению ранее установленной информационно-справочной системы ""Техэксперт: базовые нормативные документы""",№32312749019,223-ФЗ,08.09.2023
Не подходит,63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе,Информационные услуги по сопровождению систем консультант плюс для нужд  ЦНИИП,№0373100012523000001,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Информационные услуги с использованием экземпляров Систем (услуги по адаптации и сопровождению экземпляров Систем),№32312807190,223-ФЗ,28.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Исполнитель обязуется по заданию Заказчика оказать Услуги по программному продукту на платформе ""1С"" согласно Заявкам, а Заказчик обязуется принять и оплатить эти Услуги.",№32312717801,223-ФЗ,30.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,ИТС 1С:Музей,№32312659418,223-ФЗ,09.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,КО №2771/КО (385/78/2023) - Предоставление прав на использование лицензионного программного обеспечения 1С для нужд ООО «Петербургтеплоэнерго»,№32312635718,223-ФЗ,01.08.2023
Не подходит,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,"КО №7769 (G23P200872) - Выполнение проектно-изыскательских работ по объекту: «Модернизация структурированной кабельной системы КИВС и системы технологического электропитания на объектах ПАО «Мосэнерго» для нужд Публичное акционерное общество энергетики и электрификации ""Мосэнерго""",№32312752064,223-ФЗ,11.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Комплекс работ восстановлению работоспособности существующего автоматизированного комплекса дозирования серии АСДГН 30 для обеззараживания питьевой воды товарным гипохлоритом натрия на ВЗУ 5, 6, а также модернизации программного обеспечения комплекса под операционную систему Windows 10 с последующими пуско-наладочными работами.",№32312756642,223-ФЗ,12.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий; 71.20.19.115: Услуги по аттестационным испытаниям и аттестации на соответствие требованиям по защите информации,"Комплекс услуг по модификации информационной системы «Система межведомственного управления в сфере контроля и лицензирования» (далее – Система) и проведению аттестации Системы на соответствие требованиям о защите информации ограниченного доступа, не составляющей государственную тайну",№0132200004423000024,44-ФЗ,27.09.2023
Не подходит,"46.51.10: Услуги по оптовой торговле компьютерами, компьютерными периферийными устройствами и программным обеспечением; 62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки; 62.02.20: Услуги консультативные по вопросам систем и программному обеспечению","Комплексная подготовка и аттестация по требованиям безопасности информации серверного оборудования, предназначенного для подключения к Системе межведомственного электронного взаимодействия (СМЭВ)",№32312688523,223-ФЗ,21.08.2023
Подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Комплексное обслуживание информационной системы,№32312732030,223-ФЗ,04.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Комплексное сервисное обслуживание аппаратных средств системы АДИС оперативно диспетчерской службы для нужд ГБУЗ ПК ""Сивинская ЦРБ"" ",№0356300187523000081,44-ФЗ,21.08.2023
Не подходит,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки","Комплексное сопровождение программных продуктов «1С: Бухгалтерия государственного учреждения 8» и ""1С: Зарплата и кадры государственного учреждения "" для нужд УМВД России по Ярославской области",№0171100003623000075,44-ФЗ,11.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Комплексное техническое обслуживание корпоративной компьютерной сети, программного обеспечения и телефонии администрации (исполнительно-распорядительного органа) муниципального района «Ферзиковский район»  (Реестровый номер: 1388Э-13/23сб)",№0137300000223000040,44-ФЗ,02.08.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Комплексное техническое обслуживание корпоративной компьютерной сети, программного обеспечения и телефонии администрации (исполнительно-распорядительного органа) муниципального района «Ферзиковский район»  (Реестровый номер: 1468Э-13/23сб)",№0137300000223000043,44-ФЗ,21.08.2023
Скорее да,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Комплексные IT услуги для нужд ООО «Щекинская ГРЭС»,№32312665399,223-ФЗ,11.08.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Комплект поддержки Информационно-технологического-сопровождения Медицина,№1034200004923000271,44-ФЗ,29.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Комплект программного обеспечения для станков с ЧПУ,№0869200000223006941,44-ФЗ,15.08.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Конкурс в электронной форме № 559-23/кн/эф по выбору Исполнителя на право заключения контракта на оказание услуг по модернизации программных продуктов на платформе 1С:Предприятие посредством создания и внедрения информационной системы автоматизации бизнес-процессов финансово-хозяйственной деятельности, а также по сопровождению созданной информационной системы  для нужд ФГАОУ ВО «Сибирский федеральный университет» ",№32312691044,223-ФЗ,21.08.2023
Не подходит,62.02.30: Услуги по технической поддержке информационных технологий,Конкурс в электронной форме на оказание услуг по технической поддержке АИС ВКПУ,№32312689930,223-ФЗ,21.08.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,"Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по развитию и поддержанию работоспособности информационной системы оптимизации маршрутов обходов контролеров Управления ""Мосводосбыт"" в 2023 - 2024 годах",№32312726746,223-ФЗ,31.08.2023
Затрудняюсь,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по развитию и поддержанию работоспособности системы мониторинга мобильных устройств в 2023 году,№32312637847,223-ФЗ,02.08.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по развитию информационной системы единого центра экономической безопасности в 2023 - 2024 годах,№32312651933,223-ФЗ,07.08.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,"Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по разработке и методическому сопровождению решений системы менеджмента в программном продукте ""Business Studio"" в 2024-2025 годах",№32312808605,223-ФЗ,28.09.2023
Затрудняюсь,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на оказание услуг по сервисному обслуживанию системы видеонаблюдения на автотранспортной технике в 2024 году,№32312659553,223-ФЗ,09.08.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Консультационно-технологическое сопровождение прикладной программы (ПП) в «1С: Зарплата и кадры государственного учреждения 8 ПРОФ»,№32312637048,223-ФЗ,02.08.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,Консультационные услуги в рамках Семинара-тренинга «CoGIS 10: От подготовки картографического проекта в настольной ГИС до настройки веб-карты»,№32312788560,223-ФЗ,22.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Консультационные услуги и техническая поддержка,№0321300052723000174,44-ФЗ,24.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Консультационные услуги по прикладному программному продукту ""1С: Бухгалтерия государственного учреждения 8"", ""1С: Зарплата и Кадры 8""",№0312100008523000037,44-ФЗ,18.09.2023
Не подходит,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",Консультационные услуги по программе поддержки сотрудников для Нижневартовской ГРЭС,№32312737755,223-ФЗ,06.09.2023
Не подходит,62.02.20.130: Услуги по обучению пользователей,"Консультационные услуги по теме ""Составление сметной документации ресурсно-индексным методом с применением ПК ""ГРАНД-Смета""",№2021700000123000270,44-ФЗ,20.09.2023
Не подходит,62.09: Услуги в области информационных технологий прочие и компьютерные услуги,купли продажи ,№32312769462,223-ФЗ,17.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Лицензии программного обеспечения и выполнение работ по созданию и внедрению системы электронного документооборота на базе 1С: Документооборот,№32312741030,223-ФЗ,06.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Лицензия на использование модуля ""Личный кабинет ЭДО"" ПП Талисман SQL",№0318200030323000004,44-ФЗ,20.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Лицензия на операционную систему Astra Linux,№0320200006123000206,44-ФЗ,12.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,"Лицензия программного обеспечения ""Эконом-Эксперт. Онлайн""",№0358200049223000001,44-ФЗ,03.08.2023
Не подходит,Сведения включены в описание каждого лота,"Лот № 0501-ЭКСП ДИТ-2024-ДЭК ОКПД2 62.02.20.  Оказание услуг по администрированию и технической поддержке сети 15516 и 2330 в интересах филиала «Дальэнергосбыт» и аппарата управления, г. ВладивостокЛот № 0502-ЭКСП ДИТ-2024-ДЭК ОКПД2 62.02.20.  Оказание услуг по администрированию и технической поддержке сети 20266 в интересах филиала «Хабаровскэнергосбыт»Лот № 0503-ЭКСП ДИТ-2024-ДЭК ОКПД2 62.02.20. Оказание услуг по администрированию и технической поддержке сети 20273 в интересах филиала «Амурэнергосбыт» Амурская область",№32312795512,223-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Лот № 17301-ЭКСП ДИТ-2024-ЯЭ «ОКПД2 62.02.30.000 Оказание услуг по предоставлению доступа и сопровождению базы данных ""Техэксперт:Премиум""»",№32312790786,223-ФЗ,25.09.2023
Не подходит,62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий,Лот № 207/23 права использования программ для ЭВМ или баз данных с предоставлением права на получение услуг технической поддержки для АО «НТЭК». (3412186),№32312709532,223-ФЗ,28.08.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,Медицинские информационные системы «Ариадна»,№32312636413,223-ФЗ,01.08.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Мероприятия по автоматизации работы министерства строительства Самарской области,№0142200001323017532,44-ФЗ,10.08.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,"МИ №18591/МИ (224P100568) - Техническая поддержка и оптимизация режимов работы инверторных систем бесперебойного питания системы автоматического регулирования турбогенератора и системы автоматического регулирования питательного турбонасоса мощностью 10кВА энергоблоков №1, 3, 5. для нужд филиала ПАО ""ОГК-2"" - Ставропольская ГРЭС",№32312791884,223-ФЗ,25.09.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,"МИ №18614/МИ (224P100459) - Техническое обслуживание систем промышленного телевидения блока №10 для нужд филиала ПАО ""ОГК-2"" - Троицкая ГРЭС",№32312803086,223-ФЗ,27.09.2023
Скорее да,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Многофункциональная справочно-экспертная система,№32312779460,223-ФЗ,20.09.2023
Подходит,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,модернизацию автоматизированной информационной системы «Охотуправление» с целью обеспечения предоставления региональных массовых социально значимых услуг в электронном виде с применением цифровых регламентов ,№0103200008423002547,44-ФЗ,03.08.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Модернизация государственной информационной системы «Социальный регистр населения Республики Татарстан»,№0811500001123000048,44-ФЗ,20.09.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Модернизация государственной информационной системы «Электронное образование Республики Татарстан»,№0811500001123000049,44-ФЗ,21.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Модернизация и обеспечение третьей линии технической поддержки автоматизированной системы управления деятельностью исполнительных органов государственной власти Свердловской области,№0362200067823000017,44-ФЗ,18.09.2023
Подходит,"62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем; 26.20.40.110: Устройства и блоки питания вычислительных машин; 26.20.30.190: Устройства автоматической обработки данных прочие; 26.30.11.120: Средства связи, выполняющие функцию цифровых транспортных систем; 26.20.16.120: Принтеры; 26.20.15.150: Автоматизированное рабочее место; 26.20.16.154: Сканеры штрихкодов; 26.40.33.110: Видеокамеры; 27.33.13.190: Устройства коммутационные и/или предохранительные для электрических цепей прочие, не включенные в другие группировки; 26.20.21.120: Универсальные системы хранения данных (повышенной надежности без единой точки отказа); 31.01.11.129: Шкафы металлические прочие; 26.20.14.100: Серверы; 26.30.11.110: Средства связи, выполняющие функцию систем коммутации","Модернизация и расширение сегмента Федеральной государственной информационной системы ""Единая информационная база по реализации мероприятий, связанных с обеспечением безопасности донорской крови и её компонентов, развитием организацией и пропагандой донорства крови и её компонентов"" в Новосибирской области, включая поставку, ввод в эксплуатацию и передачу оборудования и программного обеспечения",№0851200000623007164,44-ФЗ,29.09.2023
Подходит,"62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем; 26.20.30.190: Устройства автоматической обработки данных прочие; 26.30.11.110: Средства связи, выполняющие функцию систем коммутации; 26.20.15.150: Автоматизированное рабочее место; 26.30.11.120: Средства связи, выполняющие функцию цифровых транспортных систем; 26.30.30.000: Части и комплектующие коммуникационного оборудования; 26.20.40.110: Устройства и блоки питания вычислительных машин; 26.20.16.154: Сканеры штрихкодов; 26.20.14.100: Серверы; 26.20.16.120: Принтеры; 26.20.21.120: Универсальные системы хранения данных (повышенной надежности без единой точки отказа); 27.33.13.190: Устройства коммутационные и/или предохранительные для электрических цепей прочие, не включенные в другие группировки; 26.40.33.110: Видеокамеры","Модернизация и расширение сегмента Федеральной государственной информационной системы «Единая информационная база по реализации мероприятий, связанных с обеспечением безопасности донорской крови и ее компонентов, развитием, организацией и пропагандой донорства крови и ее компонентов» в Новосибирской области, включая поставку, ввод в эксплуатацию и передачу оборудования и программного обеспечения",№0851200000623007185,44-ФЗ,29.09.2023
Подходит,"62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем; 62.01.29.000: Оригиналы программного обеспечения прочие; 26.40.33.110: Видеокамеры; 31.01.11.129: Шкафы металлические прочие; 26.20.15.150: Автоматизированное рабочее место; 26.20.40.149: Системы и средства обеспечения безопасности информации прочие, не вошедшие в другие категории; 26.30.11.120: Средства связи, выполняющие функцию цифровых транспортных систем; 27.33.13.190: Устройства коммутационные и/или предохранительные для электрических цепей прочие, не включенные в другие группировки; 26.20.16.120: Принтеры; 26.20.40.110: Устройства и блоки питания вычислительных машин; 26.20.16.154: Сканеры штрихкодов; 26.30.11.110: Средства связи, выполняющие функцию систем коммутации; 26.20.14.000: Машины вычислительные электронные цифровые, поставляемые в виде систем для автоматической обработки данных; 26.20.21.120: Универсальные системы хранения данных (повышенной надежности без единой точки отказа)","Модернизация и расширение сегмента Федеральной государственной информационной системы «Единая информационная база по реализации мероприятий, связанных с обеспечением безопасности донорской крови и ее компонентов, развитием, организацией и пропагандой донорства крови и ее компонентов» в Новосибирской области, включая поставку, ввод в эксплуатацию и передачу оборудования и программного обеспечения",№0851200000623006765,44-ФЗ,15.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Модернизация программного обеспечения ""Подсистема разграничения имущества"" для нужд ФГУП ""ДИД""",№32312793494,223-ФЗ,25.09.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"Модификация информационной системы ""Абонемент говорящих цифровых книг""",№0373100029323000014,44-ФЗ,09.08.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Модификация программного обеспечения ПТК для расширения функциональности системы резервного питания,№0373100029323000016,44-ФЗ,11.08.2023
Затрудняюсь,62.03.12.130: Услуги по сопровождению компьютерных систем,"Модификация, адаптация и обновление автоматизированной информационной системы документооборота и делопроизводства",№0342300000423000053,44-ФЗ,29.09.2023
